NO_OF_FRAMES	577
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:02:49.703	683904.55384840
DATA_INCLUDED	3D
TITLE	Luftmostståndspåverkan av rörelsemängd 23.3g #5
MARKER_NAMES	h23_3g
COLLISION_TIME	0
TRAJECTORY_TYPES	Mixed
Frame	Time	h23_3g X	h23_3g Y	h23_3g Z	
762	1.52200	329.710	440.275	195.062
763	1.52400	329.625	438.802	195.060
764	1.52600	329.576	437.346	195.085
765	1.52800	329.477	435.858	195.089
766	1.53000	329.428	434.410	195.106
767	1.53200	329.357	432.920	195.089
768	1.53400	329.286	431.457	195.112
769	1.53600	329.209	429.983	195.073
770	1.53800	329.146	428.527	195.060
771	1.54000	329.068	427.046	195.039
772	1.54200	328.990	425.574	195.058
773	1.54400	328.920	424.110	195.039
774	1.54600	328.827	422.623	195.090
775	1.54800	328.694	421.144	195.102
776	1.55000	328.576	419.656	195.103
777	1.55200	328.492	418.185	195.131
778	1.55400	328.409	416.712	195.111
779	1.55600	328.304	415.258	195.117
780	1.55800	328.220	413.794	195.114
781	1.56000	328.108	412.347	195.086
782	1.56200	328.011	410.884	195.086
783	1.56400	327.927	409.412	195.077
784	1.56600	327.828	407.957	195.045
785	1.56800	327.737	406.502	195.039
786	1.57000	327.666	405.030	195.037
787	1.57200	327.589	403.567	195.050
788	1.57400	327.505	402.105	195.064
789	1.57600	327.420	400.641	195.055
790	1.57800	327.349	399.170	195.062
791	1.58000	327.238	397.684	195.097
792	1.58200	327.107	396.213	195.080
793	1.58400	326.996	394.742	195.066
794	1.58600	326.918	393.263	195.070
795	1.58800	326.827	391.792	195.062
796	1.59000	326.742	390.313	195.070
797	1.59200	326.643	388.835	195.081
798	1.59400	326.573	387.364	195.080
799	1.59600	326.481	385.894	195.081
800	1.59800	326.411	384.440	195.108
801	1.60000	326.341	382.961	195.126
802	1.60200	326.272	381.498	195.119
