NO_OF_FRAMES	1558
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 15:52:39.154	683294.01175850
DATA_INCLUDED	3D
MARKER_NAMES	h23_3g
TRAJECTORY_TYPES	Mixed
Frame	Time	h23_3g X	h23_3g Y	h23_3g Z	
1474	2.94600	338.291	591.084	195.118
1475	2.94800	338.231	590.552	195.114
1476	2.95000	338.213	590.018	195.137
1477	2.95200	338.166	589.485	195.160
1478	2.95400	338.134	588.952	195.158
1479	2.95600	338.102	588.409	195.193
1480	2.95800	338.083	587.876	195.192
1481	2.96000	338.036	587.319	195.201
1482	2.96200	338.004	586.777	195.213
1483	2.96400	337.971	586.211	195.210
1484	2.96600	337.938	585.663	195.183
1485	2.96800	337.926	585.097	195.155
1486	2.97000	337.893	584.540	195.141
1487	2.97200	337.867	583.983	195.102
1488	2.97400	337.828	583.426	195.089
1489	2.97600	337.816	582.877	195.064
1490	2.97800	337.769	582.311	195.063
1491	2.98000	337.750	581.770	195.052
1492	2.98200	337.717	581.227	195.091
1493	2.98400	337.713	580.709	195.121
1494	2.98600	337.673	580.158	195.173
1495	2.98800	337.640	579.624	195.200
1496	2.99000	337.622	579.097	195.243
1497	2.99200	337.583	578.557	195.233
1498	2.99400	337.585	578.014	195.249
1499	2.99600	337.531	577.464	195.252
1500	2.99800	337.527	576.923	195.244
1501	3.00000	337.466	576.366	195.234
1502	3.00200	337.468	575.808	195.200
1503	3.00400	337.428	575.242	195.203
1504	3.00600	337.402	574.685	195.144
1505	3.00800	337.362	574.119	195.148
1506	3.01000	337.350	573.562	195.090
1507	3.01200	337.303	573.012	195.120
1508	3.01400	337.277	572.446	195.100
1509	3.01600	337.266	571.912	195.107
1510	3.01800	337.226	571.354	195.101
1511	3.02000	337.208	570.820	195.109
1512	3.02200	337.182	570.270	195.117
1513	3.02400	337.157	569.761	195.138
1514	3.02600	337.131	569.210	195.147
1515	3.02800	337.092	568.685	195.169
1516	3.03000	337.087	568.133	195.204
1517	3.03200	337.048	567.608	195.200
1518	3.03400	337.029	567.042	195.209
1519	3.03600	336.983	566.500	195.205
1520	3.03800	336.963	565.941	195.228
1521	3.04000	336.896	565.377	195.184
1522	3.04200	336.834	564.812	195.141
1523	3.04400	336.760	564.263	195.124
1524	3.04600	336.734	563.689	195.069
1525	3.04800	336.687	563.139	195.080
1526	3.05000	336.648	562.591	195.041
1527	3.05200	336.608	562.040	195.079
1528	3.05400	336.568	561.490	195.065
1529	3.05600	336.543	560.947	195.116
1530	3.05800	336.510	560.413	195.130
1531	3.06000	336.471	559.870	195.207
1532	3.06200	336.445	559.336	195.221
1533	3.06400	336.420	558.792	195.274
1534	3.06600	336.401	558.258	195.289
1535	3.06800	336.369	557.716	195.291
1536	3.07000	336.343	557.158	195.292
1537	3.07200	336.310	556.616	195.269
1538	3.07400	336.291	556.049	195.258
1539	3.07600	336.259	555.508	195.236
1540	3.07800	336.218	554.917	195.211
1541	3.08000	336.207	554.392	195.191
1542	3.08200	336.173	553.801	195.167
1543	3.08400	336.155	553.283	195.160
1544	3.08600	336.122	552.708	195.162
1545	3.08800	336.103	552.174	195.156
1546	3.09000	336.063	551.616	195.159
1547	3.09200	336.052	551.090	195.166
1548	3.09400	336.006	550.540	195.158
1549	3.09600	335.988	550.022	195.178
1550	3.09800	335.955	549.479	195.184
1551	3.10000	335.930	548.953	195.216
1552	3.10200	335.897	548.411	195.223
1553	3.10400	335.864	547.859	195.268
1554	3.10600	335.860	547.317	195.250
1555	3.10800	335.827	546.766	195.271
1556	3.11000	335.801	546.208	195.253
1557	3.11200	335.789	545.657	195.274
1558	3.11400	335.764	545.107	195.219
1559	3.11600	335.737	544.540	195.215
1560	3.11800	335.719	544.007	195.162
1561	3.12000	335.687	543.448	195.146
1562	3.12200	335.668	542.907	195.106
1563	3.12400	335.636	542.348	195.091
1564	3.12600	335.610	541.798	195.088
1565	3.12800	335.585	541.271	195.126
1566	3.13000	335.545	540.729	195.136
1567	3.13200	335.486	540.212	195.161
1568	3.13400	335.474	539.660	195.185
1569	3.13600	335.428	539.134	195.223
1570	3.13800	335.402	538.591	195.235
1571	3.14000	335.364	538.074	195.236
1572	3.14200	335.338	537.523	195.262
1573	3.14400	335.292	536.998	195.251
1574	3.14600	335.259	536.439	195.264
1575	3.14800	335.221	535.906	195.216
1576	3.15000	335.152	535.331	195.201
1577	3.15200	335.120	534.790	195.165
1578	3.15400	335.066	534.215	195.127
1579	3.15600	335.006	533.666	195.077
1580	3.15800	334.994	533.107	195.094
1581	3.16000	334.954	532.564	195.083
1582	3.16200	334.935	531.997	195.086
1583	3.16400	334.896	531.463	195.090
1584	3.16600	334.877	530.912	195.094
1585	3.16800	334.845	530.394	195.098
1586	3.17000	334.834	529.851	195.091
1587	3.17200	334.788	529.325	195.107
1588	3.17400	334.770	528.790	195.138
1589	3.17600	334.730	528.256	195.168
1590	3.17800	334.712	527.713	195.187
1591	3.18000	334.665	527.162	195.192
1592	3.18200	334.647	526.628	195.199
1593	3.18400	334.600	526.069	195.192
1594	3.18600	334.589	525.535	195.174
1595	3.18800	334.555	524.951	195.155
1596	3.19000	334.523	524.401	195.112
1597	3.19200	334.476	523.834	195.093
1598	3.19400	334.450	523.284	195.051
1599	3.19600	334.417	522.709	195.047
