NO_OF_FRAMES	775
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:00:59.078	683793.93011830
DATA_INCLUDED	3D
MARKER_NAMES	h23_3g
TRAJECTORY_TYPES	Measured
Frame	Time	h23_3g X	h23_3g Y	h23_3g Z	
928	1.85400	339.070	604.071	195.206
929	1.85600	338.995	602.874	195.227
930	1.85800	338.941	601.702	195.237
931	1.86000	338.865	600.514	195.248
932	1.86200	338.818	599.342	195.237
933	1.86400	338.743	598.162	195.238
934	1.86600	338.662	596.991	195.230
935	1.86800	338.537	595.797	195.178
936	1.87000	338.433	594.602	195.155
937	1.87200	338.364	593.405	195.160
938	1.87400	338.282	592.217	195.129
939	1.87600	338.207	591.045	195.127
940	1.87800	338.139	589.865	195.112
941	1.88000	338.056	588.677	195.085
942	1.88200	337.995	587.487	195.112
943	1.88400	337.913	586.314	195.114
944	1.88600	337.872	585.133	195.106
945	1.88800	337.818	583.967	195.125
946	1.89000	337.735	582.778	195.131
947	1.89200	337.674	581.588	195.139
948	1.89400	337.620	580.415	195.151
949	1.89600	337.558	579.208	195.160
950	1.89800	337.510	578.027	195.161
951	1.90000	337.449	576.845	195.163
952	1.90200	337.374	575.680	195.166
953	1.90400	337.320	574.489	195.183
954	1.90600	337.265	573.307	195.189
955	1.90800	337.196	572.117	195.208
956	1.91000	337.142	570.935	195.192
957	1.91200	337.074	569.754	195.175
958	1.91400	336.971	568.564	195.173
959	1.91600	336.888	567.367	195.158
960	1.91800	336.791	566.161	195.158
961	1.92000	336.723	564.978	195.174
962	1.92200	336.654	563.788	195.178
963	1.92400	336.586	562.605	195.196
964	1.92600	336.517	561.407	195.165
965	1.92800	336.448	560.208	195.185
966	1.93000	336.394	559.025	195.208
967	1.93200	336.346	557.841	195.232
968	1.93400	336.292	556.667	195.220
969	1.93600	336.238	555.493	195.209
