NO_OF_FRAMES	921
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-20, 19:07:19.004	867773.02854140
DATA_INCLUDED	3D
MARKER_NAMES	Puck1 - 1	Puck1 - 2	Puck1 - 3	Pucky - 1	Pucky - 2	Pucky - 3
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed	Measured
Frame	Time	Puck1 - 1 X	Puck1 - 1 Y	Puck1 - 1 Z	Puck1 - 2 X	Puck1 - 2 Y	Puck1 - 2 Z	Puck1 - 3 X	Puck1 - 3 Y	Puck1 - 3 Z	Pucky - 1 X	Pucky - 1 Y	Pucky - 1 Z	Pucky - 2 X	Pucky - 2 Y	Pucky - 2 Z	Pucky - 3 X	Pucky - 3 Y	Pucky - 3 Z	
2810	5.61800	279.997	346.694	165.672	272.260	364.982	165.605	298.160	356.466	165.765	478.165	362.868	164.824	462.803	377.720	165.203	461.446	350.757	165.131	
2811	5.62000	280.004	346.590	165.693	271.822	364.678	165.698	297.976	356.788	165.834	477.807	362.795	164.833	462.457	377.657	165.190	461.122	350.656	165.205	
2812	5.62200	280.027	346.494	165.696	271.459	364.456	165.682	297.782	357.112	165.790	477.431	362.760	164.831	462.019	377.552	165.265	460.782	350.572	165.168	
2813	5.62400	280.056	346.415	165.696	271.041	364.140	165.699	297.577	357.348	165.791	477.085	362.696	164.820	461.661	377.488	165.219	460.375	350.531	165.108	
2814	5.62600	280.094	346.337	165.696	270.742	363.873	165.705	297.361	357.646	165.766	476.726	362.643	164.856	461.282	377.425	165.240	460.092	350.422	165.199	
2815	5.62800	280.131	346.249	165.683	270.379	363.585	165.651	297.165	357.930	165.838	476.337	362.614	164.806	460.857	377.318	165.250	459.726	350.364	165.142	
2816	5.63000	280.161	346.159	165.667	270.039	363.289	165.698	296.918	358.191	165.788	475.993	362.553	164.860	460.519	377.273	165.235	459.355	350.291	165.118	
2817	5.63200	280.183	346.061	165.639	269.663	362.974	165.662	296.664	358.480	165.749	475.651	362.524	164.810	460.112	377.200	165.208	459.039	350.196	165.178	
2818	5.63400	280.199	345.964	165.641	269.288	362.647	165.808	296.411	358.746	165.794	475.258	362.477	164.796	459.710	377.110	165.216	458.683	350.116	165.168	
2819	5.63600	280.230	345.877	165.658	268.953	362.308	165.735	296.143	358.988	165.859	474.914	362.417	164.849	459.350	377.030	165.205	458.365	350.012	165.214	
2820	5.63800	280.253	345.790	165.675	268.592	361.962	165.739	295.922	359.207	165.863	474.551	362.379	164.783	458.951	376.957	165.177	457.983	349.971	165.154	
2821	5.64000	280.275	345.694	165.679	268.257	361.680	165.810	295.624	359.475	165.824	474.183	362.317	164.837	458.532	376.867	165.187	457.670	349.868	165.196	
2822	5.64200	280.305	345.615	165.678	267.931	361.310	165.806	295.347	359.738	165.805	473.803	362.268	164.759	458.205	376.797	165.188	457.324	349.764	165.241	
2823	5.64400	280.321	345.528	165.695	267.582	360.934	165.738	295.045	359.975	165.777	473.449	362.208	164.777	457.755	376.699	165.213	456.965	349.706	165.182	
2824	5.64600	280.352	345.428	165.665	267.262	360.626	165.799	294.787	360.169	165.831	473.093	362.153	164.781	457.391	376.644	165.217	456.637	349.613	165.239	
2825	5.64800	280.375	345.331	165.668	266.925	360.230	165.845	294.495	360.398	165.908	472.680	362.098	164.750	457.001	376.539	165.224	456.241	349.546	165.201	
2826	5.65000	280.374	345.243	165.654	266.636	359.848	165.797	294.171	360.616	165.881	472.338	362.028	164.789	456.586	376.452	165.296	455.940	349.453	165.256	
2827	5.65200	280.396	345.164	165.654	266.298	359.484	165.805	293.793	360.849	165.729	471.970	361.966	164.776	456.207	376.386	165.219	455.578	349.378	165.202	
2828	5.65400	280.418	345.085	165.654	266.000	359.077	165.836	293.505	361.043	165.783	471.590	361.921	164.794	455.808	376.299	165.291	455.187	349.336	165.142	
2829	5.65600	280.458	345.005	165.652	265.721	358.690	165.837	293.198	361.229	165.883	471.226	361.841	164.818	455.435	376.227	165.261	454.874	349.216	165.186	
2830	5.65800	280.497	344.900	165.673	265.411	358.281	165.807	292.825	361.414	165.864	470.873	361.788	164.819	455.059	376.171	165.233	454.540	349.152	165.178	
2831	5.66000	280.521	344.822	165.703	265.127	357.885	165.856	292.508	361.571	165.832	470.477	361.726	164.841	454.649	376.072	165.227	454.184	349.087	165.136	
2832	5.66200	280.544	344.744	165.703	264.873	357.458	165.829	292.151	361.760	165.821	470.129	361.664	164.861	454.280	375.993	165.247	453.833	349.006	165.130	
2833	5.66400	280.566	344.673	165.686	264.594	357.053	165.833	291.848	361.926	165.863	469.769	361.619	164.845	453.906	375.919	165.188	453.528	348.895	165.190	
2834	5.66600	280.611	344.584	165.672	264.311	356.612	165.873	291.426	362.104	165.831	469.397	361.564	164.850	453.474	375.845	165.163	453.172	348.824	165.197	
2835	5.66800	280.625	344.503	165.640	264.069	356.185	165.818	291.038	362.250	165.843	469.058	361.510	164.854	453.137	375.749	165.185	452.791	348.758	165.158	
2836	5.67000	280.649	344.415	165.657	263.824	355.738	165.877	290.643	362.398	165.797	468.673	361.457	164.855	452.759	375.675	165.160	452.477	348.662	165.183	
2837	5.67200	280.669	344.343	165.608	263.592	355.287	165.873	290.320	362.521	165.802	468.335	361.418	164.825	452.310	375.595	165.182	452.155	348.558	165.228	
2838	5.67400	280.699	344.254	165.594	263.368	354.843	165.853	289.908	362.658	165.800	467.928	361.363	164.797	451.997	375.515	165.171	451.795	348.467	165.209	
2839	5.67600	280.721	344.176	165.594	263.178	354.360	165.919	289.436	362.800	165.802	467.604	361.301	164.817	451.561	375.401	165.231	451.461	348.387	165.202	
2840	5.67800	280.745	344.098	165.625	262.922	353.907	165.884	289.072	362.884	165.809	467.258	361.273	164.799	451.177	375.345	165.202	451.109	348.298	165.212	
2841	5.68000	280.768	344.019	165.625	262.727	353.482	165.862	288.767	362.962	165.835	466.859	361.200	164.773	450.797	375.258	165.241	450.782	348.210	165.222	
2842	5.68200	280.783	343.922	165.628	262.498	352.955	165.921	288.276	363.042	165.803	466.518	361.155	164.792	450.396	375.143	165.267	450.415	348.154	165.195	
2843	5.68400	280.806	343.836	165.645	262.333	352.538	165.883	287.907	363.134	165.821	466.139	361.092	164.745	450.028	375.113	165.219	450.013	348.093	165.108	
2844	5.68600	280.813	343.766	165.659	262.150	352.001	165.928	287.472	363.180	165.826	465.781	361.047	164.765	449.587	374.998	165.246	449.744	347.983	165.167	
2845	5.68800	280.836	343.687	165.658	261.997	351.537	165.994	286.978	363.297	165.823	465.406	360.982	164.721	449.251	374.918	165.235	449.372	347.919	165.156	
2846	5.69000	280.868	343.624	165.654	261.817	351.042	165.871	286.719	363.331	165.842	465.045	360.921	164.739	448.868	374.853	165.191	449.039	347.854	165.116	
2847	5.69200	280.906	343.545	165.654	261.658	350.566	166.005	286.098	363.397	165.760	464.690	360.857	164.729	448.445	374.779	165.165	448.672	347.773	165.110	
2848	5.69400	280.921	343.474	165.636	261.515	350.062	165.870	285.816	363.386	165.770	464.288	360.795	164.749	448.092	374.673	165.174	448.363	347.678	165.135	
2849	5.69600	280.936	343.394	165.636	261.379	349.582	165.972	285.220	363.446	165.737	463.940	360.743	164.783	447.717	374.628	165.157	448.026	347.599	165.159	
2850	5.69800	280.959	343.332	165.632	261.255	349.050	165.940	284.955	363.417	165.749	463.587	360.688	164.755	447.276	374.554	165.133	447.646	347.517	165.154	
2851	5.70000	280.982	343.235	165.634	261.164	348.600	165.972	284.329	363.443	165.752	463.183	360.627	164.807	446.929	374.459	165.187	447.318	347.457	165.173	
2852	5.70200	281.006	343.148	165.651	261.032	348.061	165.959	284.054	363.413	165.733	462.836	360.556	164.812	446.536	374.379	165.208	447.000	347.345	165.235	
2853	5.70400	281.022	343.051	165.654	260.969	347.611	165.962	283.626	363.387	165.752	462.482	360.512	164.829	446.141	374.315	165.198	446.648	347.254	165.215	
2854	5.70600	281.047	342.955	165.687	260.884	347.064	165.966	283.140	363.400	165.734	462.086	360.450	164.850	445.774	374.227	165.203	446.297	347.183	165.222	
2855	5.70800	281.062	342.876	165.687	260.831	346.591	166.022	282.721	363.348	165.772	461.746	360.406	164.868	445.357	374.123	165.310	445.968	347.112	165.231	
2856	5.71000	281.070	342.796	165.686	260.759	346.058	165.961	282.284	363.336	165.805	461.393	360.360	164.853	444.970	374.057	165.233	445.614	347.033	165.254	
2857	5.71200	281.069	342.725	165.668	260.729	345.567	166.021	281.860	363.258	165.804	461.015	360.306	164.856	444.592	373.985	165.239	445.281	346.950	165.217	
2858	5.71400	281.070	342.654	165.681	260.666	345.033	165.960	281.538	363.188	165.841	460.643	360.269	164.858	444.211	373.882	165.312	444.918	346.894	165.191	
2859	5.71600	281.053	342.593	165.677	260.619	344.544	166.021	281.120	363.141	165.910	460.300	360.214	164.828	443.822	373.815	165.237	444.565	346.813	165.183	
2860	5.71800	281.044	342.522	165.660	260.619	344.019	165.976	280.662	363.021	165.902	459.952	360.170	164.846	443.397	373.733	165.229	444.238	346.734	165.208	
2861	5.72000	281.058	342.451	165.642	260.612	343.519	166.023	280.275	362.951	165.909	459.543	360.123	164.833	443.043	373.647	165.266	443.900	346.669	165.168	
2862	5.72200	281.056	342.388	165.608	260.609	343.007	165.994	279.776	362.830	165.871	459.199	360.068	164.803	442.676	373.582	165.222	443.515	346.613	165.141	
2863	5.72400	281.080	342.318	165.621	260.641	342.486	166.013	279.390	362.738	165.816	458.874	360.024	164.822	442.266	373.517	165.212	443.221	346.511	165.217	
2864	5.72600	281.095	342.256	165.618	260.662	341.976	166.017	278.951	362.638	165.809	458.453	359.958	164.778	441.896	373.430	165.249	442.890	346.423	165.227	
2865	5.72800	281.110	342.177	165.617	260.684	341.463	165.988	278.567	362.497	165.826	458.127	359.924	164.811	441.545	373.348	165.208	442.520	346.349	165.204	
2866	5.73000	281.117	342.098	165.616	260.746	340.939	166.059	278.194	362.364	165.888	457.761	359.842	164.769	441.095	373.267	165.232	442.194	346.261	165.215	
