NO_OF_FRAMES	921
NO_OF_DATA_TYPES	3
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:26:21
DATA_INCLUDED	Angular Velocity
DATA_TYPES	Angular_Velocity_YZ	Angular_Velocity_XZ	Angular_Velocity_XY

Frame	Time	Angular_Velocity_YZ	Angular_Velocity_XZ	Angular_Velocity_XY	
3112	6.22200	-8.834	-0.622	-1.748
3113	6.22400	-6.464	-0.002	-0.865
3114	6.22600	-12.209	-0.105	0.102
3115	6.22800	-17.638	-0.629	-1.824
3116	6.23000	-16.696	0.751	-1.340
3117	6.23200	-18.753	0.449	-0.177
3118	6.23400	-18.133	-1.176	-1.340
3119	6.23600	-16.940	-0.993	-0.584
3120	6.23800	-18.972	1.291	0.749
3121	6.24000	-21.703	3.360	-1.229
3122	6.24200	-19.306	2.413	-0.982
3123	6.24400	-15.135	1.321	0.588
3124	6.24600	-13.746	2.789	-0.471
3125	6.24800	-11.744	1.485	-0.408
3126	6.25000	-13.349	0.506	-0.207
3127	6.25200	-13.358	2.150	-0.001
3128	6.25400	-8.554	1.126	0.982
3129	6.25600	-4.332	-0.666	0.076
3130	6.25800	-6.154	-1.025	-0.126
3131	6.26000	-6.177	-2.035	0.308
3132	6.26200	-4.451	-3.183	-1.054
3133	6.26400	-8.178	-1.380	-0.859
3134	6.26600	-9.973	-1.014	-0.110
3135	6.26800	-16.289	-2.914	-2.193
3136	6.27000	-16.690	-1.095	-1.995
3137	6.27200	-13.896	0.899	-0.540
3138	6.27400	-22.477	-1.383	-2.927
3139	6.27600	-19.733	-0.745	-2.590
3140	6.27800	-19.383	0.940	-0.204
3141	6.28000	-26.707	-1.452	-1.212
3142	6.28200	-23.089	-0.070	-0.561
3143	6.28400	-21.280	1.592	1.878
3144	6.28600	-24.226	1.457	0.502
3145	6.28800	-24.351	3.685	-0.730
3146	6.29000	-22.428	5.182	0.946
3147	6.29200	-22.741	4.171	0.108
3148	6.29400	-20.402	3.172	-1.216
3149	6.29600	-16.938	2.700	-0.575
3150	6.29800	-15.877	1.656	-0.995
3151	6.30000	-11.786	1.376	-0.534
3152	6.30200	-9.562	-0.315	-0.087
3153	6.30400	-13.321	-2.348	-0.978
3154	6.30600	-12.949	-3.090	-0.327
3155	6.30800	-14.872	-4.884	-0.975
3156	6.31000	-21.664	-6.505	-1.142
3157	6.31200	-15.761	-5.790	0.211
3158	6.31400	-16.926	-4.840	-1.504
3159	6.31600	-27.097	-3.440	-1.176
3160	6.31800	-23.613	1.505	1.358
3161	6.32000	-27.560	2.185	-0.023
3162	6.32200	-34.882	1.779	-0.434
3163	6.32400	-29.573	5.838	1.976
3164	6.32600	-32.570	4.658	0.042
3165	6.32800	-31.187	3.030	-1.053
3166	6.33000	-22.246	5.288	2.102
3167	6.33200	-29.970	2.881	0.891
3168	6.33400	-32.406	2.375	-0.408
3169	6.33600	-24.782	4.450	2.407
3170	6.33800	-27.162	0.432	1.821
3171	6.34000	-23.591	-2.277	-0.271
3172	6.34200	-14.554	-1.400	1.905
3173	6.34400	-20.267	-3.435	0.897
3174	6.34600	-23.710	-5.088	-1.861
3175	6.34800	-22.058	-4.019	-0.427
3176	6.35000	-29.410	-4.045	0.143
3177	6.35200	-28.216	-3.469	-0.046
3178	6.35400	-22.232	-4.564	0.030
3179	6.35600	-26.986	-5.122	-0.871
3180	6.35800	-33.809	-1.695	0.682
3181	6.36000	-29.417	-1.432	2.500
3182	6.36200	-26.798	-1.627	1.237
3183	6.36400	-26.275	1.831	0.797
3184	6.36600	-22.257	2.724	1.719
3185	6.36800	-26.722	4.628	1.809
3186	6.37000	-24.327	5.462	1.543
3187	6.37200	-19.334	2.995	-0.181
3188	6.37400	-22.610	7.522	-0.390
3189	6.37600	-19.302	12.256	2.256
3190	6.37800	-22.062	5.003	1.807
3191	6.38000	-28.541	-3.799	-0.994
3192	6.38200	-21.138	-2.061	-0.656
3193	6.38400	-16.828	-1.156	1.784
3194	6.38600	-9.102	-3.930	1.023
3195	6.38800	4.228	-6.354	0.141
3196	6.39000	0.635	-11.023	0.694
3197	6.39200	-2.919	-10.664	0.251
3198	6.39400	10.701	-5.136	0.322
3199	6.39600	14.025	-2.143	0.866
3200	6.39800	6.428	-0.630	0.514
3201	6.40000	-1.726	1.005	1.367
3202	6.40200	-11.540	-1.092	0.863
3203	6.40400	-9.781	0.726	-0.491
3204	6.40600	-1.841	4.665	0.285
3205	6.40800	-3.699	4.371	1.022
3206	6.41000	-2.669	3.406	1.484
3207	6.41200	5.782	3.408	1.238
3208	6.41400	1.758	3.590	0.899
3209	6.41600	3.305	4.889	1.665
3210	6.41800	13.631	5.282	1.156
3211	6.42000	15.013	-2.138	0.213
3212	6.42200	15.800	-3.650	0.765
3213	6.42400	17.085	-2.319	-0.596
3214	6.42600	19.821	-6.801	-2.038
3215	6.42800	30.319	-6.946	-0.196
3216	6.43000	30.561	-5.203	1.180
3217	6.43200	24.000	-6.872	-0.151
3218	6.43400	31.155	-5.959	-0.061
3219	6.43600	33.736	-2.390	1.352
3220	6.43800	35.073	-1.931	1.156
3221	6.44000	41.402	1.021	0.955
3222	6.44200	33.466	4.704	1.443
3223	6.44400	24.418	3.672	0.318
3224	6.44600	29.857	5.450	0.058
3225	6.44800	32.047	6.528	0.657
3226	6.45000	26.846	2.113	0.011
3227	6.45200	29.288	-0.275	-0.182
3228	6.45400	29.491	-1.586	-0.502
3229	6.45600	21.185	-2.663	-0.662
3230	6.45800	23.148	-2.149	0.137
3231	6.46000	34.998	-2.658	0.787
3232	6.46200	36.902	-1.722	0.928
3233	6.46400	31.228	0.311	0.850
3234	6.46600	30.684	-0.783	0.406
3235	6.46800	30.619	-1.000	-0.465
3236	6.47000	32.922	0.343	0.154
3237	6.47200	37.639	3.050	2.641
3238	6.47400	33.976	2.046	3.997
3239	6.47600	23.944	-3.824	1.828
3240	6.47800	18.689	-5.721	0.244
3241	6.48000	24.005	-3.466	0.188
3242	6.48200	30.225	0.888	0.073
3243	6.48400	30.911	-0.440	-0.359
3244	6.48600	26.781	-4.035	-1.955
3245	6.48800	16.523	-1.838	-1.637
3246	6.49000	9.630	1.473	-0.253
3247	6.49200	13.952	3.870	0.061
3248	6.49400	23.783	2.728	-0.413
3249	6.49600	19.782	0.889	0.522
3250	6.49800	13.761	0.585	1.734
3251	6.50000	22.245	0.357	2.127
3252	6.50200	34.241	0.172	2.065
3253	6.50400	37.600	1.947	1.825
3254	6.50600	29.318	2.219	2.239
3255	6.50800	25.204	-0.183	2.849
3256	6.51000	26.594	-1.478	1.736
3257	6.51200	27.498	-2.304	-0.549
3258	6.51400	27.765	-2.128	-0.803
3259	6.51600	25.753	-1.699	-0.183
3260	6.51800	19.542	-1.768	-0.733
3261	6.52000	19.055	-2.556	-2.151
3262	6.52200	21.971	-0.785	-3.095
3263	6.52400	19.601	2.135	-1.107
3264	6.52600	18.716	2.908	2.375
3265	6.52800	14.891	3.048	2.784
3266	6.53000	11.293	3.850	1.777
3267	6.53200	13.285	4.526	1.920
3268	6.53400	14.042	4.491	2.322
3269	6.53600	15.106	3.631	1.984
3270	6.53800	16.877	0.771	0.434
3271	6.54000	15.062	-0.214	-1.297
3272	6.54200	15.385	1.351	-1.231
3273	6.54400	22.388	-0.791	-0.037
3274	6.54600	24.796	-4.244	-0.027
3275	6.54800	18.885	-5.725	-0.653
3276	6.55000	13.424	-4.809	-0.015
3277	6.55200	14.106	-2.228	1.197
3278	6.55400	17.975	-0.852	0.939
3279	6.55600	15.973	0.118	0.889
3280	6.55800	10.951	3.096	2.105
3281	6.56000	7.748	4.343	1.924
3282	6.56200	5.773	3.302	0.172
3283	6.56400	1.470	3.992	-0.591
3284	6.56600	-0.348	4.829	0.088
3285	6.56800	2.538	3.160	1.334
3286	6.57000	4.578	0.409	1.357
3287	6.57200	3.945	-1.024	-0.080
3288	6.57400	3.388	-2.816	-0.611
3289	6.57600	7.629	-2.360	-0.155
3290	6.57800	16.740	-1.514	1.176
3291	6.58000	18.434	-3.310	0.866
3292	6.58200	11.487	-4.406	0.383
3293	6.58400	11.227	-3.768	1.689
3294	6.58600	14.580	-1.312	2.210
3295	6.58800	16.817	0.206	1.892
3296	6.59000	15.514	-0.439	1.570
3297	6.59200	9.379	0.535	0.001
3298	6.59400	8.093	0.565	-0.787
3299	6.59600	4.233	-0.298	0.726
3300	6.59800	0.667	-1.297	1.131
3301	6.60000	2.030	-2.047	1.011
3302	6.60200	-1.471	-2.532	-0.084
3303	6.60400	-5.572	-3.566	-0.328
3304	6.60600	-6.555	-3.628	1.011
3305	6.60800	-1.978	-2.751	0.450
3306	6.61000	5.618	-1.483	-0.404
3307	6.61200	9.344	-0.578	-0.149
3308	6.61400	8.290	0.505	1.228
3309	6.61600	7.380	-0.763	1.484
3310	6.61800	10.677	-3.534	0.434
3311	6.62000	15.850	-6.252	1.023
3312	6.62200	13.325	-6.498	2.907
3313	6.62400	6.733	-4.864	4.174
3314	6.62600	5.584	-5.004	1.909
3315	6.62800	6.322	-4.554	-1.146
3316	6.63000	4.965	-2.862	-0.488
3317	6.63200	0.313	-0.549	1.615
3318	6.63400	-1.788	1.355	1.196
3319	6.63600	3.055	0.427	-0.431
3320	6.63800	3.676	-0.003	-0.822
3321	6.64000	-2.313	0.858	0.532
3322	6.64200	-3.238	-0.437	1.501
3323	6.64400	2.404	-3.111	0.314
3324	6.64600	5.225	-4.322	-0.816
3325	6.64800	5.557	-3.747	-0.533
3326	6.65000	6.795	-3.840	0.508
3327	6.65200	8.823	-4.496	0.723
3328	6.65400	11.546	-3.883	-0.303
3329	6.65600	9.603	-2.720	-0.379
3330	6.65800	9.030	-1.067	0.582
3331	6.66000	12.245	-0.043	1.053
3332	6.66200	12.820	-1.615	1.738
3333	6.66400	9.574	-1.637	1.952
3334	6.66600	7.687	-0.259	0.438
3335	6.66800	8.760	-0.599	-0.165
3336	6.67000	7.957	-1.894	0.050
3337	6.67200	4.830	-2.081	0.032
3338	6.67400	1.639	-2.267	-0.523
3339	6.67600	1.289	-2.651	-1.961
3340	6.67800	3.267	-3.856	-1.795
3341	6.68000	1.407	-4.165	-0.385
3342	6.68200	0.637	-0.843	0.771
3343	6.68400	5.290	1.314	0.563
3344	6.68600	6.385	0.611	-0.881
3345	6.68800	4.105	0.335	-0.128
3346	6.69000	3.549	-0.129	1.469
3347	6.69200	8.431	-0.059	1.843
3348	6.69400	13.827	-0.697	3.171
3349	6.69600	13.856	-2.415	3.242
3350	6.69800	11.468	-2.870	1.277
3351	6.70000	10.532	-2.371	-0.043
3352	6.70200	10.029	-2.151	-0.585
3353	6.70400	9.481	-2.359	-0.186
3354	6.70600	8.895	-0.662	0.223
3355	6.70800	7.597	-0.241	-0.243
3356	6.71000	5.984	-1.936	-0.871
3357	6.71200	2.626	-2.867	-1.176
3358	6.71400	-0.816	-1.635	0.353
3359	6.71600	-4.182	-0.551	1.067
3360	6.71800	-5.868	0.033	0.927
3361	6.72000	-4.171	1.228	1.748
3362	6.72200	-1.816	2.499	1.781
