NO_OF_FRAMES	921
NO_OF_DATA_TYPES	3
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:21:13
DATA_INCLUDED	Velocity
DATA_TYPES	Puck1 - 2_vel_X	Puck1 - 2_vel_Y	Puck1 - 2_vel_Z

Frame	Time	Puck1 - 2_vel_X	Puck1 - 2_vel_Y	Puck1 - 2_vel_Z	
3023	6.04400	6.876	-48.817	-1.213
3024	6.04600	6.556	-48.529	-1.190
3025	6.04800	6.082	-48.342	-1.194
3026	6.05000	5.676	-48.263	-0.892
3027	6.05200	5.593	-48.145	-0.616
3028	6.05400	5.772	-47.900	-0.564
3029	6.05600	5.928	-47.442	-0.622
3030	6.05800	5.754	-47.123	-1.071
3031	6.06000	5.409	-46.936	-2.042
3032	6.06200	5.209	-46.904	-3.026
3033	6.06400	5.649	-47.377	-3.316
3034	6.06600	6.570	-48.037	-2.526
3035	6.06800	6.936	-48.699	-1.203
3036	6.07000	6.848	-49.138	0.253
3037	6.07200	6.868	-49.203	1.301
3038	6.07400	6.986	-49.070	1.810
3039	6.07600	7.034	-48.699	1.740
3040	6.07800	6.988	-48.297	1.163
3041	6.08000	6.742	-48.111	0.141
3042	6.08200	6.637	-48.232	-0.390
3043	6.08400	7.019	-48.306	-0.345
3044	6.08600	7.409	-48.267	-0.294
3045	6.08800	7.688	-48.163	-0.033
3046	6.09000	8.044	-47.925	0.626
3047	6.09200	8.095	-47.684	1.341
3048	6.09400	7.935	-47.490	1.288
3049	6.09600	7.912	-47.385	1.058
3050	6.09800	8.046	-47.728	0.893
3051	6.10000	8.143	-48.256	1.280
3052	6.10200	8.007	-48.422	1.891
3053	6.10400	7.860	-48.573	1.998
3054	6.10600	7.859	-48.498	2.140
3055	6.10800	8.089	-47.956	2.506
3056	6.11000	8.610	-47.362	2.630
3057	6.11200	9.100	-47.216	2.071
3058	6.11400	9.354	-47.534	1.549
3059	6.11600	9.413	-47.912	1.320
3060	6.11800	9.409	-48.189	1.528
3061	6.12000	9.513	-48.325	2.429
3062	6.12200	9.439	-48.433	3.301
3063	6.12400	9.067	-48.594	3.045
3064	6.12600	9.006	-48.749	2.219
3065	6.12800	9.137	-48.895	1.703
3066	6.13000	9.350	-48.798	1.781
3067	6.13200	9.564	-48.648	2.280
3068	6.13400	9.556	-48.692	2.387
3069	6.13600	9.515	-48.795	1.879
3070	6.13800	9.476	-48.827	1.367
3071	6.14000	9.665	-48.592	1.174
3072	6.14200	9.964	-48.097	0.935
3073	6.14400	9.989	-47.820	0.848
3074	6.14600	10.052	-48.023	0.968
3075	6.14800	10.325	-48.518	1.152
3076	6.15000	10.608	-48.963	1.236
3077	6.15200	10.982	-49.119	1.293
3078	6.15400	11.272	-49.070	0.928
3079	6.15600	11.470	-48.841	0.342
3080	6.15800	11.778	-48.703	-0.159
3081	6.16000	12.162	-48.641	-0.554
3082	6.16200	12.448	-48.676	-0.653
3083	6.16400	12.652	-48.910	-0.373
3084	6.16600	12.962	-49.030	0.055
3085	6.16800	13.314	-48.948	0.300
3086	6.17000	13.593	-48.848	0.479
3087	6.17200	14.004	-48.727	0.330
3088	6.17400	14.387	-48.522	-0.014
3089	6.17600	14.644	-48.304	-0.341
3090	6.17800	15.084	-48.087	-0.582
3091	6.18000	15.702	-48.058	-0.550
3092	6.18200	16.226	-48.073	-0.082
3093	6.18400	16.656	-47.792	0.205
3094	6.18600	16.918	-47.479	0.080
3095	6.18800	17.103	-47.288	-0.293
3096	6.19000	17.396	-47.115	-0.532
3097	6.19200	17.714	-47.065	-0.602
3098	6.19400	18.186	-47.147	-0.559
3099	6.19600	18.544	-47.266	-0.177
3100	6.19800	18.704	-47.323	-0.209
3101	6.20000	18.904	-47.052	-0.456
3102	6.20200	19.158	-46.621	-0.487
3103	6.20400	19.635	-46.371	-0.538
3104	6.20600	20.443	-45.919	-0.671
3105	6.20800	21.113	-45.659	-1.130
3106	6.21000	21.449	-45.959	-1.746
3107	6.21200	21.448	-46.400	-1.650
3108	6.21400	21.339	-46.762	-1.133
3109	6.21600	21.410	-46.505	-0.710
3110	6.21800	21.509	-45.886	-0.362
3111	6.22000	21.308	-45.461	-0.539
3112	6.22200	20.925	-45.244	-1.342
3113	6.22400	20.836	-45.199	-2.114
3114	6.22600	21.052	-44.947	-2.044
3115	6.22800	21.239	-44.580	-1.370
3116	6.23000	21.177	-44.337	-0.806
3117	6.23200	21.005	-44.063	-0.777
3118	6.23400	20.933	-43.832	-1.038
3119	6.23600	20.928	-43.539	-1.293
3120	6.23800	20.915	-43.009	-1.250
3121	6.24000	21.010	-42.319	-1.163
3122	6.24200	20.863	-41.897	-1.186
3123	6.24400	20.546	-41.988	-1.198
3124	6.24600	20.523	-41.968	-1.329
3125	6.24800	20.532	-41.719	-1.458
3126	6.25000	20.493	-41.310	-1.349
3127	6.25200	20.497	-40.678	-1.145
3128	6.25400	20.593	-40.188	-1.127
3129	6.25600	21.033	-39.972	-1.055
3130	6.25800	21.369	-40.019	-0.690
3131	6.26000	21.211	-40.187	-0.067
3132	6.26200	20.830	-40.402	0.433
3133	6.26400	20.324	-40.603	1.057
3134	6.26600	19.786	-40.415	1.472
3135	6.26800	19.660	-39.805	1.737
3136	6.27000	19.857	-39.143	2.203
3137	6.27200	19.961	-38.390	2.313
3138	6.27400	19.738	-37.807	1.927
3139	6.27600	19.343	-37.669	1.350
3140	6.27800	18.968	-37.498	0.732
3141	6.28000	18.418	-37.433	0.187
3142	6.28200	17.807	-37.396	-0.172
3143	6.28400	17.307	-37.319	-0.559
3144	6.28600	16.838	-37.400	-0.689
3145	6.28800	16.459	-37.393	-0.444
3146	6.29000	16.163	-37.358	0.057
3147	6.29200	15.766	-37.282	0.601
3148	6.29400	15.318	-37.246	0.620
3149	6.29600	14.955	-37.281	0.226
3150	6.29800	14.727	-37.234	-0.138
3151	6.30000	14.538	-37.309	-0.219
3152	6.30200	14.358	-37.661	-0.153
3153	6.30400	14.130	-37.927	-0.534
3154	6.30600	13.874	-37.935	-1.004
3155	6.30800	13.651	-37.990	-1.156
3156	6.31000	13.546	-37.993	-1.189
3157	6.31200	13.463	-37.893	-1.216
3158	6.31400	13.343	-37.773	-1.584
3159	6.31600	13.409	-37.447	-1.846
3160	6.31800	13.429	-37.241	-1.816
3161	6.32000	13.274	-37.353	-1.928
3162	6.32200	13.237	-37.409	-1.882
3163	6.32400	13.281	-37.434	-1.563
3164	6.32600	13.306	-37.508	-1.355
3165	6.32800	13.373	-37.685	-1.374
3166	6.33000	13.363	-37.847	-1.644
3167	6.33200	13.469	-37.772	-1.612
3168	6.33400	13.627	-37.860	-1.430
3169	6.33600	13.621	-37.960	-1.727
3170	6.33800	13.724	-37.853	-2.147
3171	6.34000	13.982	-37.678	-2.193
3172	6.34200	14.282	-37.531	-1.771
3173	6.34400	14.642	-37.558	-1.322
3174	6.34600	15.137	-37.546	-1.001
3175	6.34800	15.860	-37.412	-0.455
3176	6.35000	16.706	-37.018	0.168
3177	6.35200	17.550	-36.408	0.276
3178	6.35400	18.946	-35.561	0.109
3179	6.35600	20.902	-34.332	-0.086
3180	6.35800	22.786	-32.984	0.426
3181	6.36000	24.456	-31.578	1.492
3182	6.36200	25.601	-30.071	1.727
3183	6.36400	26.421	-28.719	1.306
3184	6.36600	27.283	-27.758	1.547
3185	6.36800	27.806	-27.539	2.188
3186	6.37000	27.170	-28.271	1.686
3187	6.37200	25.417	-29.587	0.878
3188	6.37400	23.022	-31.672	0.496
3189	6.37600	20.030	-34.304	-0.034
3190	6.37800	16.792	-37.173	-0.267
3191	6.38000	13.079	-40.356	0.106
3192	6.38200	8.685	-43.683	0.558
3193	6.38400	4.034	-47.583	1.100
3194	6.38600	-0.760	-51.981	2.071
3195	6.38800	-6.141	-56.531	2.181
3196	6.39000	-12.170	-61.377	1.300
3197	6.39200	-18.421	-66.655	1.033
3198	6.39400	-24.601	-72.202	0.989
3199	6.39600	-30.959	-77.631	0.249
3200	6.39800	-37.801	-83.203	-0.086
3201	6.40000	-44.691	-89.025	0.147
3202	6.40200	-51.341	-94.708	0.052
3203	6.40400	-57.805	-100.504	-0.086
3204	6.40600	-64.802	-106.414	0.198
3205	6.40800	-72.412	-111.914	0.152
3206	6.41000	-79.074	-117.702	-0.293
3207	6.41200	-84.954	-123.817	-0.068
3208	6.41400	-92.014	-129.360	-0.082
3209	6.41600	-99.329	-134.722	-0.157
3210	6.41800	-105.062	-140.215	0.309
3211	6.42000	-110.674	-145.624	0.268
3212	6.42200	-117.143	-150.564	0.249
3213	6.42400	-123.242	-155.257	1.087
3214	6.42600	-128.114	-160.068	1.092
3215	6.42800	-132.793	-164.073	-0.045
3216	6.43000	-137.324	-167.364	0.601
3217	6.43200	-141.012	-170.910	1.642
3218	6.43400	-144.980	-173.994	0.615
3219	6.43600	-147.728	-175.641	0.680
3220	6.43800	-149.719	-177.681	1.582
3221	6.44000	-152.075	-179.887	1.276
3222	6.44200	-153.064	-180.161	1.773
3223	6.44400	-154.053	-180.803	2.289
3224	6.44600	-154.053	-181.304	1.918
3225	6.44800	-152.487	-180.114	1.794
3226	6.45000	-152.174	-179.086	1.592
3227	6.45200	-151.462	-177.886	1.517
3228	6.45400	-148.809	-176.234	1.285
3229	6.45600	-146.617	-174.738	1.491
3230	6.45800	-145.845	-173.651	2.548
3231	6.46000	-145.308	-172.944	2.505
3232	6.46200	-144.572	-172.140	1.865
3233	6.46400	-144.289	-171.829	1.817
3234	6.46600	-144.062	-171.869	2.340
3235	6.46800	-144.341	-171.993	2.348
3236	6.47000	-145.034	-172.177	1.919
3237	6.47200	-144.496	-171.860	2.135
3238	6.47400	-144.409	-172.023	1.800
3239	6.47600	-145.069	-172.342	1.628
3240	6.47800	-144.965	-172.310	1.839
