NO_OF_FRAMES	921
NO_OF_DATA_TYPES	1
FREQUENCY	500
TIME_STAMP	2024-10-20, 20:23:10
DATA_INCLUDED	Angular Velocity
DATA_TYPES	Angular_Velocity

Frame	Time	Angular_Velocity	
3557	7.11200	-11.093
3558	7.11400	-9.813
3559	7.11600	-9.833
3560	7.11800	-9.759
3561	7.12000	-9.061
3562	7.12200	-8.667
3563	7.12400	-8.277
3564	7.12600	-7.140
3565	7.12800	-5.739
3566	7.13000	-3.173
3567	7.13200	-1.982
3568	7.13400	-1.513
3569	7.13600	-2.551
3570	7.13800	-2.519
3571	7.14000	-2.710
3572	7.14200	-1.879
3573	7.14400	0.511
3574	7.14600	1.990
3575	7.14800	1.287
3576	7.15000	2.883
3577	7.15200	2.903
3578	7.15400	2.267
3579	7.15600	4.397
3580	7.15800	2.770
3581	7.16000	1.297
3582	7.16200	2.458
3583	7.16400	3.399
3584	7.16600	5.085
3585	7.16800	5.473
3586	7.17000	3.267
3587	7.17200	2.739
3588	7.17400	3.971
3589	7.17600	7.212
3590	7.17800	9.274
3591	7.18000	10.067
3592	7.18200	5.130
3593	7.18400	5.585
3594	7.18600	12.172
3595	7.18800	11.431
3596	7.19000	7.921
3597	7.19200	5.734
3598	7.19400	6.285
3599	7.19600	10.364
3600	7.19800	12.063
3601	7.20000	10.114
3602	7.20200	12.235
3603	7.20400	14.571
3604	7.20600	13.601
3605	7.20800	13.685
3606	7.21000	14.465
3607	7.21200	14.746
3608	7.21400	13.722
3609	7.21600	13.200
3610	7.21800	14.782
3611	7.22000	12.334
3612	7.22200	11.374
3613	7.22400	15.080
3614	7.22600	13.955
3615	7.22800	13.483
3616	7.23000	16.152
3617	7.23200	15.590
3618	7.23400	14.450
3619	7.23600	15.870
3620	7.23800	16.454
3621	7.24000	15.409
3622	7.24200	13.841
3623	7.24400	14.661
3624	7.24600	14.614
3625	7.24800	13.061
3626	7.25000	12.175
3627	7.25200	11.083
3628	7.25400	12.168
3629	7.25600	12.162
3630	7.25800	11.430
3631	7.26000	14.633
3632	7.26200	14.944
3633	7.26400	13.363
3634	7.26600	12.379
3635	7.26800	12.469
3636	7.27000	12.978
3637	7.27200	10.555
3638	7.27400	8.761
3639	7.27600	9.052
3640	7.27800	8.806
3641	7.28000	8.247
3642	7.28200	8.413
3643	7.28400	7.489
3644	7.28600	3.716
3645	7.28800	-0.435
3646	7.29000	2.663
3647	7.29200	6.192
3648	7.29400	2.750
3649	7.29600	-1.896
3650	7.29800	-2.343
3651	7.30000	-0.618
3652	7.30200	0.007
3653	7.30400	-3.164
3654	7.30600	-4.771
3655	7.30800	-6.566
3656	7.31000	-9.796
3657	7.31200	-5.914
3658	7.31400	-6.287
3659	7.31600	-12.976
3660	7.31800	-15.643
3661	7.32000	-12.355
3662	7.32200	-9.922
3663	7.32400	-14.581
3664	7.32600	-16.330
3665	7.32800	-15.126
3666	7.33000	-17.841
3667	7.33200	-20.220
