NO_OF_FRAMES	921
NO_OF_DATA_TYPES	3
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:22:16
DATA_INCLUDED	Velocity
DATA_TYPES	Pucky - 1_vel_X	Pucky - 1_vel_Y	Pucky - 1_vel_Z

Frame	Time	Pucky - 1_vel_X	Pucky - 1_vel_Y	Pucky - 1_vel_Z	
3017	6.03200	-178.954	-28.120	-0.751
3018	6.03400	-179.009	-27.997	-1.129
3019	6.03600	-178.575	-27.703	-1.844
3020	6.03800	-178.684	-27.512	-2.016
3021	6.04000	-179.058	-27.540	-1.883
3022	6.04200	-178.604	-27.405	-2.350
3023	6.04400	-178.635	-27.268	-2.561
3024	6.04600	-178.710	-27.441	-1.503
3025	6.04800	-178.250	-27.593	-1.269
3026	6.05000	-178.489	-27.732	-1.357
3027	6.05200	-178.611	-28.030	-0.338
3028	6.05400	-178.554	-28.471	0.200
3029	6.05600	-178.529	-28.479	0.378
3030	6.05800	-178.479	-28.533	0.915
3031	6.06000	-178.550	-28.766	1.286
3032	6.06200	-178.498	-28.686	1.278
3033	6.06400	-178.495	-28.795	1.181
3034	6.06600	-178.176	-28.778	1.357
3035	6.06800	-178.140	-28.415	1.296
3036	6.07000	-178.361	-28.151	0.896
3037	6.07200	-178.143	-27.930	1.142
3038	6.07400	-178.367	-27.523	0.979
3039	6.07600	-178.500	-27.081	0.196
3040	6.07800	-178.008	-26.882	-0.001
3041	6.08000	-178.091	-26.785	0.082
3042	6.08200	-178.327	-26.508	-0.249
3043	6.08400	-178.186	-26.266	-0.563
3044	6.08600	-178.589	-26.526	-0.074
3045	6.08800	-178.487	-26.666	0.155
3046	6.09000	-178.272	-26.649	0.024
3047	6.09200	-178.551	-26.970	0.575
3048	6.09400	-178.169	-27.243	0.899
3049	6.09600	-178.218	-27.476	0.768
3050	6.09800	-178.341	-27.725	1.203
3051	6.10000	-178.107	-28.032	1.779
3052	6.10200	-178.194	-28.212	1.792
3053	6.10400	-178.253	-28.272	1.842
3054	6.10600	-178.192	-28.448	1.879
3055	6.10800	-178.048	-28.385	1.876
3056	6.11000	-178.224	-28.115	1.950
