NO_OF_FRAMES	921
NO_OF_DATA_TYPES	1
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:19:27
DATA_INCLUDED	Velocity
DATA_TYPES	Puck1 - 2_vel

Frame	Time	Puck1 - 2_vel	
3378	6.75400	227.952
3379	6.75600	227.631
3380	6.75800	226.841
3381	6.76000	227.195
3382	6.76200	227.661
3383	6.76400	227.204
3384	6.76600	227.388
3385	6.76800	227.658
3386	6.77000	227.228
3387	6.77200	227.531
3388	6.77400	227.675
3389	6.77600	227.402
3390	6.77800	227.666
3391	6.78000	227.526
3392	6.78200	227.508
3393	6.78400	227.520
3394	6.78600	227.455
3395	6.78800	227.697
3396	6.79000	227.365
3397	6.79200	227.056
3398	6.79400	227.277
3399	6.79600	227.150
3400	6.79800	226.784
3401	6.80000	226.817
3402	6.80200	226.919
3403	6.80400	226.792
3404	6.80600	226.343
3405	6.80800	226.393
3406	6.81000	226.585
3407	6.81200	226.256
3408	6.81400	226.202
3409	6.81600	226.330
3410	6.81800	226.321
3411	6.82000	226.139
3412	6.82200	226.057
3413	6.82400	226.103
3414	6.82600	226.201
3415	6.82800	225.779
3416	6.83000	225.760
3417	6.83200	225.940
3418	6.83400	225.589
3419	6.83600	225.518
3420	6.83800	225.556
3421	6.84000	225.417
3422	6.84200	225.160
3423	6.84400	225.454
3424	6.84600	225.426
3425	6.84800	225.299
3426	6.85000	225.367
3427	6.85200	225.262
3428	6.85400	225.227
3429	6.85600	225.168
3430	6.85800	225.753
3431	6.86000	225.229
3432	6.86200	224.782
3433	6.86400	225.612
3434	6.86600	225.226
3435	6.86800	225.406
3436	6.87000	225.300
3437	6.87200	224.885
3438	6.87400	225.111
3439	6.87600	225.406
3440	6.87800	225.479
3441	6.88000	224.883
3442	6.88200	225.469
3443	6.88400	225.652
3444	6.88600	224.878
3445	6.88800	224.854
3446	6.89000	225.586
3447	6.89200	225.581
3448	6.89400	224.963
3449	6.89600	225.189
3450	6.89800	225.376
3451	6.90000	225.187
3452	6.90200	224.774
3453	6.90400	224.359
3454	6.90600	224.166
3455	6.90800	224.248
3456	6.91000	224.420
3457	6.91200	223.850
3458	6.91400	223.522
3459	6.91600	223.539
3460	6.91800	223.545
3461	6.92000	223.226
3462	6.92200	222.708
3463	6.92400	222.860
3464	6.92600	222.894
3465	6.92800	222.596
3466	6.93000	222.134
3467	6.93200	221.906
3468	6.93400	221.906
3469	6.93600	221.916
3470	6.93800	221.842
3471	6.94000	221.259
3472	6.94200	221.290
3473	6.94400	221.729
3474	6.94600	221.411
3475	6.94800	221.007
3476	6.95000	220.821
3477	6.95200	220.922
3478	6.95400	220.998
3479	6.95600	220.845
3480	6.95800	220.561
3481	6.96000	219.950
3482	6.96200	220.550
3483	6.96400	220.600
3484	6.96600	219.599
3485	6.96800	219.962
3486	6.97000	219.416
3487	6.97200	219.181
3488	6.97400	219.637
3489	6.97600	219.338
3490	6.97800	218.837
3491	6.98000	218.637
3492	6.98200	218.808
3493	6.98400	217.916
3494	6.98600	217.553
3495	6.98800	218.207
3496	6.99000	218.055
3497	6.99200	217.157
3498	6.99400	216.922
3499	6.99600	217.356
3500	6.99800	217.057
3501	7.00000	216.346
3502	7.00200	216.095
3503	7.00400	216.243
3504	7.00600	216.272
3505	7.00800	216.150
3506	7.01000	215.891
3507	7.01200	215.432
3508	7.01400	215.516
3509	7.01600	215.382
3510	7.01800	215.072
3511	7.02000	214.879
3512	7.02200	214.705
3513	7.02400	214.841
3514	7.02600	214.596
3515	7.02800	214.166
3516	7.03000	213.987
3517	7.03200	214.240
3518	7.03400	214.269
3519	7.03600	214.107
3520	7.03800	214.035
3521	7.04000	213.825
3522	7.04200	214.204
3523	7.04400	214.244
3524	7.04600	213.756
3525	7.04800	213.565
3526	7.05000	213.596
3527	7.05200	213.892
3528	7.05400	213.637
3529	7.05600	213.184
3530	7.05800	213.282
3531	7.06000	213.351
3532	7.06200	213.042
3533	7.06400	212.636
3534	7.06600	212.475
3535	7.06800	212.396
3536	7.07000	212.607
3537	7.07200	212.645
3538	7.07400	211.594
3539	7.07600	210.994
3540	7.07800	211.699
3541	7.08000	211.900
3542	7.08200	210.904
3543	7.08400	210.747
3544	7.08600	211.339
3545	7.08800	211.191
3546	7.09000	211.340
3547	7.09200	211.497
3548	7.09400	211.179
3549	7.09600	211.216
3550	7.09800	211.191
3551	7.10000	210.984
3552	7.10200	211.119
3553	7.10400	211.519
3554	7.10600	211.865
3555	7.10800	211.467
3556	7.11000	211.418
3557	7.11200	211.908
3558	7.11400	211.748
3559	7.11600	211.965
3560	7.11800	212.430
3561	7.12000	212.427
3562	7.12200	212.215
3563	7.12400	212.348
3564	7.12600	212.818
3565	7.12800	212.665
3566	7.13000	212.586
3567	7.13200	212.748
3568	7.13400	212.766
3569	7.13600	212.902
3570	7.13800	212.873
3571	7.14000	212.815
3572	7.14200	213.090
3573	7.14400	213.032
3574	7.14600	212.895
3575	7.14800	212.976
3576	7.15000	212.839
3577	7.15200	213.047
3578	7.15400	213.042
3579	7.15600	212.621
3580	7.15800	212.696
3581	7.16000	212.648
3582	7.16200	212.217
3583	7.16400	212.017
3584	7.16600	212.003
3585	7.16800	212.035
3586	7.17000	211.770
3587	7.17200	210.880
3588	7.17400	210.485
3589	7.17600	211.188
3590	7.17800	211.139
3591	7.18000	210.390
3592	7.18200	209.742
3593	7.18400	210.157
3594	7.18600	210.344
3595	7.18800	209.599
3596	7.19000	209.541
3597	7.19200	209.187
3598	7.19400	208.857
3599	7.19600	209.163
3600	7.19800	209.058
3601	7.20000	208.944
3602	7.20200	209.459
3603	7.20400	209.584
3604	7.20600	208.944
3605	7.20800	208.638
3606	7.21000	209.085
3607	7.21200	209.187
3608	7.21400	208.867
3609	7.21600	208.985
3610	7.21800	208.996
3611	7.22000	208.677
3612	7.22200	208.606
3613	7.22400	208.779
3614	7.22600	208.862
3615	7.22800	208.536
3616	7.23000	208.575
3617	7.23200	208.843
3618	7.23400	208.832
3619	7.23600	208.792
3620	7.23800	208.751
3621	7.24000	208.753
3622	7.24200	208.753
3623	7.24400	208.589
3624	7.24600	208.605
3625	7.24800	208.675
3626	7.25000	208.616
3627	7.25200	208.598
3628	7.25400	208.405
3629	7.25600	208.427
3630	7.25800	208.635
3631	7.26000	208.508
3632	7.26200	208.362
3633	7.26400	208.324
3634	7.26600	208.159
3635	7.26800	208.077
3636	7.27000	208.083
3637	7.27200	208.008
3638	7.27400	207.966
3639	7.27600	207.757
3640	7.27800	207.372
3641	7.28000	207.450
3642	7.28200	207.384
3643	7.28400	207.138
3644	7.28600	206.385
3645	7.28800	205.723
3646	7.29000	206.161
3647	7.29200	206.515
3648	7.29400	205.969
3649	7.29600	205.410
3650	7.29800	205.259
3651	7.30000	205.383
3652	7.30200	205.672
3653	7.30400	205.221
3654	7.30600	205.018
3655	7.30800	204.720
3656	7.31000	204.423
3657	7.31200	205.421
3658	7.31400	205.273
3659	7.31600	204.345
3660	7.31800	204.123
3661	7.32000	204.949
3662	7.32200	205.552
3663	7.32400	204.708
3664	7.32600	204.955
3665	7.32800	205.442
3666	7.33000	205.191
3667	7.33200	205.181
