NO_OF_FRAMES	921
NO_OF_DATA_TYPES	1
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:18:02
DATA_INCLUDED	Velocity
DATA_TYPES	Pucky - 1_vel

Frame	Time	Pucky - 1_vel	
3443	6.88400	98.790
3444	6.88600	98.818
3445	6.88800	98.868
3446	6.89000	98.776
3447	6.89200	98.811
3448	6.89400	98.748
3449	6.89600	98.577
3450	6.89800	98.919
3451	6.90000	99.439
3452	6.90200	99.600
3453	6.90400	99.226
3454	6.90600	98.410
3455	6.90800	98.097
3456	6.91000	98.420
3457	6.91200	98.687
3458	6.91400	98.864
3459	6.91600	99.131
3460	6.91800	99.181
3461	6.92000	98.794
3462	6.92200	98.568
3463	6.92400	98.462
3464	6.92600	98.557
3465	6.92800	98.671
3466	6.93000	98.765
3467	6.93200	99.082
3468	6.93400	99.125
3469	6.93600	98.970
3470	6.93800	98.734
3471	6.94000	98.224
3472	6.94200	97.989
3473	6.94400	98.550
3474	6.94600	99.308
3475	6.94800	99.429
3476	6.95000	99.236
3477	6.95200	98.738
3478	6.95400	98.487
3479	6.95600	98.671
3480	6.95800	98.523
3481	6.96000	98.744
3482	6.96200	98.821
3483	6.96400	98.582
3484	6.96600	98.372
3485	6.96800	98.112
3486	6.97000	97.985
3487	6.97200	97.558
3488	6.97400	97.061
3489	6.97600	97.408
3490	6.97800	97.949
3491	6.98000	98.033
3492	6.98200	97.780
3493	6.98400	97.272
3494	6.98600	96.971
3495	6.98800	97.083
3496	6.99000	97.456
3497	6.99200	97.812
3498	6.99400	97.786
3499	6.99600	97.724
3500	6.99800	97.692
3501	7.00000	97.368
3502	7.00200	97.171
3503	7.00400	97.362
3504	7.00600	97.465
3505	7.00800	97.484
3506	7.01000	97.554
3507	7.01200	97.749
3508	7.01400	97.908
3509	7.01600	97.514
3510	7.01800	96.651
3511	7.02000	96.227
3512	7.02200	96.729
3513	7.02400	97.084
3514	7.02600	97.097
3515	7.02800	96.956
3516	7.03000	96.757
3517	7.03200	96.821
3518	7.03400	96.914
3519	7.03600	96.893
3520	7.03800	97.025
3521	7.04000	97.251
3522	7.04200	97.544
3523	7.04400	97.717
3524	7.04600	97.768
3525	7.04800	97.589
3526	7.05000	97.261
3527	7.05200	96.691
3528	7.05400	96.596
3529	7.05600	97.318
3530	7.05800	97.812
3531	7.06000	97.776
3532	7.06200	96.840
3533	7.06400	96.464
3534	7.06600	96.948
3535	7.06800	97.181
3536	7.07000	97.064
3537	7.07200	96.857
3538	7.07400	97.142
3539	7.07600	97.222
3540	7.07800	96.860
3541	7.08000	96.474
3542	7.08200	96.292
3543	7.08400	96.517
3544	7.08600	96.636
3545	7.08800	96.702
3546	7.09000	97.044
3547	7.09200	97.034
3548	7.09400	96.686
3549	7.09600	96.567
3550	7.09800	96.721
3551	7.10000	96.980
3552	7.10200	96.979
3553	7.10400	97.057
3554	7.10600	96.980
3555	7.10800	96.599
3556	7.11000	96.672
3557	7.11200	96.629
3558	7.11400	96.217
3559	7.11600	96.059
3560	7.11800	96.320
3561	7.12000	96.497
3562	7.12200	96.281
3563	7.12400	96.061
3564	7.12600	96.073
3565	7.12800	96.191
3566	7.13000	96.113
3567	7.13200	95.851
3568	7.13400	95.540
3569	7.13600	95.499
3570	7.13800	95.730
3571	7.14000	95.927
3572	7.14200	95.529
3573	7.14400	95.214
3574	7.14600	95.423
3575	7.14800	95.534
3576	7.15000	95.727
3577	7.15200	95.852
3578	7.15400	95.743
3579	7.15600	95.714
3580	7.15800	95.771
3581	7.16000	95.780
3582	7.16200	95.684
3583	7.16400	95.888
3584	7.16600	95.749
3585	7.16800	95.343
3586	7.17000	95.551
3587	7.17200	95.888
3588	7.17400	95.629
3589	7.17600	94.974
3590	7.17800	95.025
3591	7.18000	95.341
3592	7.18200	95.780
3593	7.18400	96.017
3594	7.18600	95.418
3595	7.18800	94.827
3596	7.19000	95.088
3597	7.19200	95.520
3598	7.19400	95.359
3599	7.19600	95.179
3600	7.19800	95.159
3601	7.20000	95.161
3602	7.20200	95.167
3603	7.20400	95.303
3604	7.20600	95.187
3605	7.20800	94.910
3606	7.21000	95.149
3607	7.21200	95.319
3608	7.21400	95.370
3609	7.21600	95.411
3610	7.21800	95.143
3611	7.22000	94.734
3612	7.22200	94.512
3613	7.22400	94.797
3614	7.22600	95.137
3615	7.22800	94.906
3616	7.23000	94.397
3617	7.23200	94.323
3618	7.23400	94.586
3619	7.23600	94.750
3620	7.23800	94.616
3621	7.24000	94.211
3622	7.24200	93.967
3623	7.24400	94.404
3624	7.24600	94.852
3625	7.24800	94.493
3626	7.25000	94.105
3627	7.25200	94.097
3628	7.25400	94.197
3629	7.25600	94.330
3630	7.25800	94.417
3631	7.26000	94.452
3632	7.26200	94.334
3633	7.26400	94.319
3634	7.26600	94.420
3635	7.26800	94.734
3636	7.27000	95.000
3637	7.27200	94.662
3638	7.27400	94.249
3639	7.27600	94.472
3640	7.27800	95.118
3641	7.28000	95.258
3642	7.28200	94.938
3643	7.28400	94.378
3644	7.28600	94.130
3645	7.28800	94.671
3646	7.29000	95.120
3647	7.29200	94.859
3648	7.29400	94.271
3649	7.29600	94.165
3650	7.29800	94.218
3651	7.30000	94.200
3652	7.30200	94.408
3653	7.30400	94.015
3654	7.30600	93.523
3655	7.30800	93.503
3656	7.31000	93.641
3657	7.31200	93.930
3658	7.31400	94.071
3659	7.31600	93.782
3660	7.31800	93.402
3661	7.32000	93.604
3662	7.32200	94.058
3663	7.32400	94.311
3664	7.32600	94.070
3665	7.32800	93.513
3666	7.33000	93.412
3667	7.33200	93.472
