NO_OF_FRAMES	1598
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 11:34:23.998	926997.74098940
DATA_INCLUDED	3D
MARKER_NAMES	v43_3g_orgio	v43_3g_X	v43_3g_Y	h43_5g_origo	h43_5g_X	h43_5g_Y
TRAJECTORY_TYPES	Measured	Mixed	Measured	Measured	Measured	Measured
Frame	Time	v43_3g_orgio X	v43_3g_orgio Y	v43_3g_orgio Z	v43_3g_X X	v43_3g_X Y	v43_3g_X Z	v43_3g_Y X	v43_3g_Y Y	v43_3g_Y Z	h43_5g_origo X	h43_5g_origo Y	h43_5g_origo Z	h43_5g_X X	h43_5g_X Y	h43_5g_X Z	h43_5g_Y X	h43_5g_Y Y	h43_5g_Y Z	
4332	8.66200	410.272	426.350	162.922	416.250	369.982	163.887	464.127	438.809	163.300	514.183	521.824	163.259	526.505	576.318	163.979	460.192	533.233	163.417
4333	8.66400	410.389	426.900	162.957	415.301	370.383	163.834	464.455	438.357	163.207	514.080	521.428	163.182	525.557	576.075	163.970	459.842	532.047	163.413
4334	8.66600	410.421	427.350	162.958	414.395	370.800	163.959	464.750	437.883	163.289	513.900	521.028	163.201	524.628	575.795	163.992	459.568	530.862	163.442
4335	8.66800	410.540	427.959	162.910	413.495	371.275	163.815	465.007	437.423	163.211	513.660	520.556	163.189	523.704	575.488	164.060	459.290	529.687	163.392
4336	8.67000	410.584	428.394	162.978	412.544	371.762	163.927	465.289	436.964	163.230	513.575	520.204	163.191	522.752	575.219	164.003	458.908	528.473	163.410
4337	8.67200	410.703	428.978	162.979	411.613	372.173	163.925	465.513	436.505	163.215	513.350	519.726	163.193	521.773	574.938	163.994	458.640	527.260	163.461
4338	8.67400	410.780	429.446	162.981	410.701	372.828	163.850	465.745	436.010	163.172	513.211	519.327	163.181	520.830	574.598	164.088	458.438	526.086	163.447
4339	8.67600	410.881	429.996	163.050	409.759	373.185	163.997	465.944	435.587	163.185	513.008	518.893	163.200	519.884	574.287	164.136	458.088	524.855	163.437
4340	8.67800	410.995	430.515	162.920	408.856	373.891	163.884	466.138	435.082	163.128	512.833	518.479	163.153	518.871	573.980	164.079	457.791	523.633	163.446
4341	8.68000	411.053	431.031	163.057	407.949	374.323	163.940	466.264	434.641	163.175	512.634	518.059	163.208	517.894	573.610	164.130	457.614	522.450	163.390
