NO_OF_FRAMES	1453
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 11:41:31.017	927424.75938200
DATA_INCLUDED	3D
MARKER_NAMES	v43_3g_origo	v43_3g_X	v43_3g_Y	h43_5g_origo	h43_5g_X	h43_5g_Y
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Measured	Mixed
Frame	Time	v43_3g_origo X	v43_3g_origo Y	v43_3g_origo Z	v43_3g_X X	v43_3g_X Y	v43_3g_X Z	v43_3g_Y X	v43_3g_Y Y	v43_3g_Y Z	h43_5g_origo X	h43_5g_origo Y	h43_5g_origo Z	h43_5g_X X	h43_5g_X Y	h43_5g_X Z	h43_5g_Y X	h43_5g_Y Y	h43_5g_Y Z	
3456	6.91000	270.615	425.714	163.104	327.048	434.787	163.198	255.250	478.552	163.662	500.579	600.018	163.498	510.906	654.829	164.302	446.100	609.359	163.639
3457	6.91200	270.609	425.918	163.129	326.868	436.025	163.233	254.209	478.398	163.637	500.032	599.516	163.469	510.384	654.411	164.292	445.505	608.878	163.688
3458	6.91400	270.571	426.075	163.111	326.634	437.261	163.268	253.184	478.261	163.611	499.525	599.062	163.449	509.849	653.864	164.309	445.066	608.375	163.656
3459	6.91600	270.547	426.225	163.080	326.385	438.497	163.273	252.174	478.115	163.570	498.989	598.591	163.487	509.323	653.456	164.254	444.480	607.895	163.675
3460	6.91800	270.531	426.373	163.047	326.112	439.707	163.297	251.188	477.933	163.561	498.481	598.104	163.463	508.808	652.934	164.321	444.008	607.408	163.708
3461	6.92000	270.524	426.521	163.014	325.801	440.926	163.307	250.188	477.717	163.586	497.970	597.641	163.489	508.246	652.509	164.234	443.463	606.912	163.663
3462	6.92200	270.504	426.687	163.041	325.497	442.128	163.350	249.192	477.492	163.535	497.439	597.155	163.463	507.693	652.014	164.289	442.935	606.432	163.743
3463	6.92400	270.545	426.900	163.081	325.202	443.355	163.377	248.167	477.241	163.530	496.938	596.694	163.458	507.174	651.561	164.246	442.445	605.938	163.669
3464	6.92600	270.515	427.078	163.095	324.814	444.566	163.407	247.213	476.974	163.561	496.428	596.222	163.468	506.615	651.094	164.197	441.872	605.441	163.715
3465	6.92800	270.476	427.221	163.112	324.464	445.776	163.438	246.236	476.670	163.592	495.875	595.746	163.428	506.113	650.603	164.304	441.411	604.972	163.691
3466	6.93000	270.422	427.345	163.099	324.107	446.968	163.471	245.247	476.363	163.527	495.401	595.281	163.488	505.537	650.147	164.179	440.818	604.449	163.691
3467	6.93200	270.391	427.494	163.067	323.673	448.159	163.473	244.321	476.069	163.512	494.825	594.796	163.431	505.057	649.647	164.300	440.340	603.980	163.695
3468	6.93400	270.384	427.669	163.047	323.247	449.316	163.511	243.360	475.721	163.562	494.330	594.314	163.458	504.459	649.226	164.181	439.772	603.466	163.652
3469	6.93600	270.399	427.843	162.996	322.798	450.489	163.485	242.418	475.354	163.518	493.813	593.854	163.452	503.950	648.692	164.266	439.284	602.997	163.687
3470	6.93800	270.400	428.028	162.992	322.333	451.628	163.527	241.521	475.023	163.474	493.260	593.359	163.413	503.369	648.275	164.227	438.740	602.501	163.646
3471	6.94000	270.378	428.187	163.007	321.838	452.792	163.519	240.590	474.613	163.512	492.778	592.895	163.473	502.867	647.771	164.239	438.237	601.988	163.662
3472	6.94200	270.349	428.348	163.053	321.335	453.922	163.548	239.655	474.187	163.490	492.226	592.409	163.419	502.310	647.302	164.253	437.684	601.519	163.637
3473	6.94400	270.326	428.498	163.053	320.793	455.067	163.512	238.790	473.801	163.448	491.715	591.939	163.430	501.772	646.849	164.242	437.175	600.996	163.640
3474	6.94600	270.320	428.640	163.070	320.259	456.161	163.545	237.917	473.355	163.427	491.182	591.467	163.442	501.245	646.336	164.267	436.634	600.545	163.646
3475	6.94800	270.312	428.806	163.036	319.695	457.290	163.544	237.044	472.891	163.406	490.638	590.982	163.388	500.678	645.909	164.245	436.120	600.022	163.621
3476	6.95000	270.297	428.964	163.019	319.123	458.357	163.596	236.181	472.428	163.418	490.154	590.526	163.465	500.175	645.389	164.254	435.595	599.545	163.608
3477	6.95200	270.274	429.112	162.986	318.528	459.450	163.599	235.321	471.947	163.369	489.588	590.032	163.395	499.594	644.954	164.214	435.048	599.047	163.633
3478	6.95400	270.236	429.270	162.969	317.886	460.509	163.639	234.466	471.422	163.400	489.107	589.570	163.425	499.073	644.484	164.261	434.570	598.545	163.603
3479	6.95600	270.221	429.430	162.984	317.269	461.533	163.743	233.653	470.888	163.355	488.583	589.091	163.421	498.506	643.999	164.215	433.969	598.081	163.629
3480	6.95800	270.216	429.608	163.029	316.620	462.574	163.784	232.842	470.372	163.341	488.036	588.604	163.400	497.973	643.546	164.235	433.537	597.561	163.600
3481	6.96000	270.209	429.775	163.027	315.979	463.622	163.778	232.030	469.801	163.328	487.541	588.150	163.416	497.458	643.053	164.202	432.921	597.091	163.608
