NO_OF_FRAMES	741
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 17:57:43.027	949996.67041030
DATA_INCLUDED	3D
MARKER_NAMES	h31_6g	v5_9g	hx	hy	vx	vy
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	h31_6g X	h31_6g Y	h31_6g Z	v5_9g X	v5_9g Y	v5_9g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
613	1.22400	314.543	431.822	165.327	511.408	434.471	161.737	299.289	445.823	165.964	301.795	415.616	165.620	498.676	449.937	166.025	497.420	420.968	165.791
614	1.22600	314.559	431.822	165.328	510.638	434.406	161.779	299.320	445.823	165.964	301.810	415.625	165.603	497.929	449.881	166.017	496.694	420.918	165.706
615	1.22800	314.589	431.814	165.314	509.923	434.386	161.737	299.365	445.814	165.950	301.824	415.615	165.589	497.194	449.801	166.057	495.956	420.861	165.669
616	1.23000	314.619	431.814	165.315	509.172	434.381	161.661	299.396	445.823	165.933	301.848	415.616	165.590	496.415	449.736	166.065	495.208	420.788	165.665
617	1.23200	314.650	431.805	165.300	508.447	434.334	161.639	299.450	445.815	165.951	301.864	415.616	165.590	495.619	449.688	166.073	494.470	420.713	165.630
618	1.23400	314.695	431.796	165.287	507.683	434.253	161.713	299.480	445.815	165.952	301.872	415.625	165.605	494.900	449.625	166.113	493.757	420.693	165.588
619	1.23600	314.711	431.788	165.304	506.910	434.214	161.705	299.519	445.815	165.952	301.888	415.625	165.605	494.157	449.561	166.153	493.034	420.645	165.566
620	1.23800	314.741	431.779	165.290	506.180	434.211	161.661	299.557	445.815	165.953	301.911	415.616	165.591	493.371	449.522	166.144	492.289	420.581	165.609
621	1.24000	314.773	431.778	165.289	505.470	434.183	161.666	299.588	445.816	165.954	301.935	415.617	165.592	492.607	449.467	166.167	491.539	420.518	165.651
622	1.24200	314.804	431.770	165.306	504.708	434.118	161.709	299.658	445.825	165.969	301.957	415.626	165.607	491.873	449.412	166.191	490.830	420.480	165.643
623	1.24400	314.826	431.761	165.292	503.917	434.062	161.735	299.680	445.824	165.939	301.973	415.625	165.576	491.096	449.364	166.167	490.104	420.443	165.666
624	1.24600	314.857	431.743	165.294	503.207	434.034	161.739	299.719	445.816	165.956	301.989	415.635	165.591	490.334	449.343	166.156	489.376	420.389	165.723
625	1.24800	314.912	431.743	165.294	502.466	434.014	161.728	299.742	445.817	165.957	302.004	415.625	165.577	489.594	449.279	166.164	488.616	420.318	165.781
626	1.25000	314.951	431.734	165.310	501.707	433.966	161.738	299.780	445.826	165.973	302.019	415.635	165.592	488.816	449.222	166.157	487.886	420.256	165.854
627	1.25200	314.989	431.717	165.312	500.945	433.894	161.796	299.818	445.826	165.974	302.043	415.626	165.578	488.064	449.174	166.102	487.188	420.227	165.828
628	1.25400	315.012	431.707	165.298	500.196	433.848	161.803	299.857	445.827	165.975	302.058	415.626	165.578	487.310	449.128	166.107	486.431	420.180	165.838
629	1.25600	315.036	431.699	165.314	499.464	433.836	161.776	299.880	445.827	165.976	302.067	415.644	165.576	486.541	449.081	166.082	485.674	420.108	165.864
630	1.25800	315.074	431.691	165.332	498.728	433.781	161.800	299.910	445.827	165.976	302.090	415.635	165.562	485.758	449.031	166.028	484.951	420.035	165.860
631	1.26000	315.098	431.682	165.348	497.991	433.727	161.855	299.941	445.827	165.977	302.114	415.635	165.563	485.005	448.966	166.005	484.236	419.995	165.822
632	1.26200	315.128	431.673	165.334	497.216	433.686	161.851	299.972	445.845	165.976	302.129	415.635	165.563	484.257	448.895	166.028	483.482	419.948	165.798
633	1.26400	315.167	431.665	165.351	496.496	433.657	161.792	300.026	445.853	165.959	302.145	415.644	165.578	483.479	448.855	166.020	482.737	419.891	165.761
634	1.26600	315.198	431.657	165.368	495.778	433.611	161.799	300.080	445.853	165.960	302.176	415.654	165.593	482.692	448.798	166.014	481.998	419.825	165.742
635	1.26800	315.228	431.648	165.354	495.013	433.572	161.791	300.110	445.854	165.961	302.199	415.645	165.579	481.981	448.727	166.068	481.285	419.769	165.704
636	1.27000	315.252	431.640	165.371	494.238	433.523	161.802	300.141	445.862	165.945	302.207	415.653	165.563	481.209	448.672	166.090	480.564	419.721	165.649
637	1.27200	315.281	431.639	165.341	493.543	433.478	161.809	300.195	445.872	165.961	302.231	415.654	165.564	480.437	448.624	166.100	479.825	419.673	165.628
638	1.27400	315.297	431.631	165.358	492.790	433.457	161.766	300.241	445.872	165.962	302.255	415.663	165.579	479.703	448.561	166.139	479.076	419.600	165.655
639	1.27600	315.327	431.632	165.359	492.042	433.427	161.741	300.280	445.881	165.977	302.287	415.664	165.580	478.969	448.497	166.179	478.367	419.545	165.649
640	1.27800	315.358	431.641	165.375	491.272	433.363	161.815	300.333	445.890	165.961	302.311	415.664	165.581	478.180	448.450	166.218	477.658	419.516	165.656
641	1.28000	315.388	431.633	165.362	490.552	433.326	161.838	300.372	445.890	165.962	302.333	415.672	165.564	477.423	448.404	166.256	476.916	419.461	165.682
642	1.28200	315.418	431.624	165.348	489.793	433.321	161.763	300.418	445.898	165.946	302.356	415.673	165.596	476.684	448.340	166.264	476.175	419.406	165.707
643	1.28400	315.441	431.624	165.348	489.042	433.266	161.787	300.456	445.899	165.947	302.379	415.664	165.582	475.921	448.301	166.255	475.439	419.344	165.780
644	1.28600	315.472	431.624	165.350	488.297	433.212	161.843	300.494	445.899	165.947	302.387	415.682	165.580	475.151	448.254	166.262	474.727	419.299	165.821
645	1.28800	315.494	431.633	165.334	487.526	433.181	161.819	300.533	445.908	165.963	302.410	415.682	165.580	474.411	448.199	166.284	474.018	419.253	165.829
646	1.29000	315.517	431.633	165.334	486.794	433.134	161.795	300.595	445.907	165.931	302.425	415.682	165.580	473.625	448.150	166.263	473.238	419.189	165.870
647	1.29200	315.548	431.624	165.320	486.084	433.089	161.801	300.633	445.916	165.947	302.440	415.682	165.581	472.851	448.102	166.207	472.503	419.126	165.913
648	1.29400	315.578	431.624	165.321	485.312	433.049	161.794	300.671	445.907	165.933	302.463	415.691	165.595	472.128	448.039	166.213	471.796	419.071	165.905
649	1.29600	315.617	431.624	165.321	484.553	433.001	161.804	300.694	445.908	165.934	302.506	415.681	165.580	471.359	447.991	166.190	471.066	419.032	165.867
650	1.29800	315.647	431.615	165.307	483.833	432.939	161.844	300.748	445.926	165.965	302.537	415.681	165.581	470.561	447.942	166.135	470.297	418.967	165.845
651	1.30000	315.671	431.615	165.307	483.119	432.918	161.801	300.771	445.918	165.951	302.566	415.690	165.594	469.792	447.876	166.112	469.552	418.892	165.811
652	1.30200	315.709	431.607	165.324	482.364	432.878	161.763	300.794	445.918	165.952	302.588	415.690	165.594	469.062	447.813	166.118	468.838	418.835	165.773
653	1.30400	315.740	431.589	165.326	481.611	432.806	161.821	300.825	445.918	165.952	302.612	415.690	165.595	468.300	447.765	166.096	468.094	418.787	165.719
654	1.30600	315.771	431.598	165.310	480.885	432.759	161.829	300.855	445.928	165.968	302.643	415.699	165.580	467.501	447.707	166.057	467.357	418.730	165.681
655	1.30800	315.818	431.589	165.326	480.147	432.756	161.785	300.894	445.919	165.954	302.650	415.708	165.594	466.776	447.627	166.096	466.611	418.682	165.659
656	1.31000	315.849	431.571	165.328	479.390	432.692	161.794	300.916	445.919	165.954	302.681	415.699	165.580	466.028	447.572	166.120	465.895	418.601	165.671
657	1.31200	315.888	431.571	165.328	478.654	432.628	161.835	300.947	445.927	165.938	302.704	415.708	165.595	465.241	447.524	166.128	465.180	418.554	165.648
658	1.31400	315.927	431.563	165.345	477.884	432.588	161.797	300.985	445.937	165.954	302.726	415.716	165.579	464.516	447.461	166.168	464.458	418.514	165.610
659	1.31600	315.965	431.553	165.330	477.158	432.559	161.803	301.055	445.945	165.938	302.750	415.717	165.579	463.799	447.406	166.190	463.699	418.460	165.667
660	1.31800	316.019	431.561	165.313	476.439	432.514	161.840	301.085	445.954	165.922	302.780	415.725	165.563	463.004	447.368	166.213	462.981	418.415	165.707
661	1.32000	316.050	431.553	165.330	475.674	432.493	161.832	301.116	445.963	165.937	302.804	415.735	165.578	462.248	447.312	166.237	462.279	418.361	165.732
662	1.32200	316.081	431.544	165.316	474.902	432.436	161.826	301.162	445.971	165.922	302.826	415.735	165.579	461.517	447.266	166.244	461.539	418.323	165.755
