NO_OF_FRAMES	1139
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 19:34:17.490	955791.10098720
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängdsmoment i inelastisk stöt 27.7 g vs 34.3 g
MARKER_NAMES	h34_3g	hx	hy	v27_7g	vy	vx
COLLISION_TIME	0.76
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	h34_3g X	h34_3g Y	h34_3g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v27_7g X	v27_7g Y	v27_7g Z	vy X	vy Y	vy Z	vx X	vx Y	vx Z	
5462	10.92200	448.350	533.624	169.530	461.181	541.414	169.289	440.373	547.680	169.837	402.119	398.566	164.821	397.895	377.889	165.124	382.777	404.407	165.044
5463	10.92400	448.133	533.465	169.557	460.753	541.605	169.255	439.810	547.353	169.867	401.997	398.752	164.841	397.396	378.143	165.126	382.701	404.971	165.003
5464	10.92600	447.932	533.305	169.584	460.317	541.755	169.231	439.257	547.024	169.870	401.844	398.969	164.764	396.912	378.389	165.142	382.694	405.432	165.069
5465	10.92800	447.703	533.172	169.535	459.884	541.892	169.290	438.686	546.642	169.933	401.700	399.152	164.720	396.437	378.670	165.152	382.650	406.003	165.012
5466	10.93000	447.449	533.012	169.561	459.437	542.040	169.329	438.117	546.278	169.934	401.570	399.346	164.724	395.923	378.976	165.143	382.628	406.472	165.030
5467	10.93200	447.243	532.888	169.527	459.009	542.205	169.311	437.557	545.914	169.907	401.439	399.523	164.759	395.456	379.272	165.090	382.599	406.985	165.059
5468	10.93400	447.035	532.746	169.523	458.541	542.345	169.303	436.994	545.490	169.950	401.285	399.701	164.795	394.972	379.545	165.118	382.578	407.503	165.009
5469	10.93600	446.818	532.569	169.551	458.066	542.483	169.298	436.486	545.099	169.970	401.124	399.912	164.797	394.512	379.835	165.142	382.563	407.982	165.075
5470	10.93800	446.567	532.428	169.514	457.564	542.603	169.353	435.943	544.701	169.909	400.964	400.096	164.784	394.012	380.151	165.149	382.566	408.511	165.039
5471	10.94000	446.334	532.258	169.559	457.115	542.761	169.284	435.434	544.249	169.943	400.834	400.281	164.773	393.506	380.474	165.106	382.558	408.997	165.058
5472	10.94200	446.126	532.099	169.555	456.584	542.837	169.324	434.898	543.851	169.881	400.681	400.474	164.776	393.030	380.782	165.129	382.568	409.492	165.090
5473	10.94400	445.880	531.948	169.567	456.108	542.958	169.318	434.382	543.417	169.916	400.520	400.676	164.762	392.578	381.090	165.152	382.555	410.002	165.028
5474	10.94600	445.651	531.815	169.517	455.615	543.053	169.357	433.844	542.983	169.917	400.368	400.870	164.764	392.110	381.432	165.139	382.564	410.480	165.062
5475	10.94800	445.398	531.673	169.512	455.086	543.156	169.351	433.337	542.532	169.888	400.222	401.055	164.753	391.596	381.756	165.128	382.575	410.964	165.018
5476	10.95000	445.176	531.540	169.494	454.572	543.233	169.359	432.874	542.071	169.938	400.077	401.248	164.756	391.160	382.098	165.114	382.599	411.450	165.038
5477	10.95200	444.937	531.371	169.506	454.050	543.310	169.366	432.406	541.629	169.895	399.931	401.426	164.792	390.683	382.424	165.136	382.624	411.935	165.026
5478	10.95400	444.727	531.203	169.549	453.528	543.395	169.361	431.920	541.143	169.928	399.793	401.610	164.781	390.224	382.766	165.123	382.656	412.412	165.033
5479	10.95600	444.498	531.061	169.513	452.999	543.463	169.352	431.467	540.700	169.918	399.639	401.795	164.771	389.748	383.107	165.111	382.688	412.880	165.024
