NO_OF_FRAMES	750
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 18:14:28.168	951001.80429440
DATA_INCLUDED	3D
TITLE	Bevaring av energi i elastisk stöt 5.9g vs (fjäderpuck) 31.6g
MARKER_NAMES	v5_9g	vx	vy	h31_6g	hx	hy
COLLISION_TIME	0
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Mixed
Frame	Time	v5_9g X	v5_9g Y	v5_9g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	h31_6g X	h31_6g Y	h31_6g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	
922	1.84200	530.009	334.275	161.513	512.553	343.821	165.859	522.218	316.501	165.546	551.500	508.664	165.370	530.693	510.672	165.781	550.673	488.054	165.209
923	1.84400	529.651	334.638	161.545	512.158	344.139	165.887	521.869	316.846	165.576	551.091	508.377	165.279	530.284	510.441	165.686	550.345	487.751	165.187
924	1.84600	529.313	335.000	161.545	511.781	344.482	165.893	521.552	317.191	165.606	550.725	508.067	165.233	529.980	510.128	165.707	550.142	487.525	165.126
925	1.84800	528.927	335.351	161.533	511.441	344.822	165.837	521.197	317.544	165.618	550.331	507.763	165.299	529.532	509.722	165.800	549.688	487.187	165.166
926	1.85000	528.571	335.698	161.568	511.033	345.156	165.831	520.874	317.880	165.634	550.005	507.493	165.312	529.137	509.436	165.803	549.194	486.824	165.182
927	1.85200	528.234	336.057	161.538	510.687	345.482	165.841	520.530	318.237	165.597	549.595	507.185	165.225	528.857	509.238	165.649	548.883	486.570	165.139
928	1.85400	527.865	336.391	161.529	510.330	345.805	165.788	520.203	318.572	165.581	549.190	506.847	165.259	528.394	508.824	165.727	548.617	486.297	165.161
929	1.85600	527.518	336.763	161.543	509.931	346.146	165.765	519.853	318.910	165.518	548.843	506.567	165.319	528.025	508.441	165.873	548.230	485.984	165.156
930	1.85800	527.152	337.123	161.511	509.579	346.463	165.761	519.511	319.268	165.481	548.482	506.280	165.293	527.664	508.245	165.683	547.729	485.643	165.167
931	1.86000	526.828	337.467	161.517	509.211	346.780	165.757	519.201	319.583	165.437	548.110	505.952	165.217	527.256	507.953	165.668	547.457	485.369	165.191
932	1.86200	526.445	337.827	161.487	508.826	347.113	165.752	518.842	319.923	165.405	547.699	505.676	165.234	526.934	507.543	165.801	547.196	485.127	165.129
933	1.86400	526.092	338.179	161.474	508.482	347.448	165.745	518.502	320.273	165.353	547.335	505.372	165.301	526.475	507.235	165.751	546.700	484.761	165.156
934	1.86600	525.744	338.533	161.493	508.097	347.774	165.756	518.178	320.625	165.367	546.927	505.079	165.287	526.115	506.992	165.708	546.271	484.434	165.204
935	1.86800	525.382	338.902	161.478	507.739	348.102	165.800	517.856	320.941	165.356	546.567	504.794	165.164	525.807	506.715	165.602	546.003	484.196	165.162
936	1.87000	525.034	339.238	161.501	507.373	348.454	165.789	517.501	321.304	165.383	546.209	504.467	165.276	525.317	506.257	165.822	545.678	483.908	165.150
937	1.87200	524.675	339.598	161.472	507.035	348.796	165.767	517.167	321.667	165.411	545.821	504.175	165.356	525.011	506.015	165.780	545.243	483.574	165.149
938	1.87400	524.309	339.961	161.506	506.639	349.123	165.811	516.842	322.005	165.459	545.446	503.888	165.236	524.624	505.775	165.608	544.810	483.252	165.161
939	1.87600	523.971	340.313	161.495	506.271	349.467	165.818	516.491	322.359	165.505	545.066	503.550	165.240	524.208	505.360	165.783	544.544	482.997	165.183
940	1.87800	523.585	340.674	161.498	505.922	349.825	165.761	516.184	322.720	165.502	544.672	503.282	165.243	523.880	505.046	165.805	544.225	482.718	165.091
941	1.88000	523.233	341.019	161.537	505.537	350.158	165.757	515.819	323.075	165.547	544.321	502.981	165.340	523.437	504.807	165.756	543.728	482.350	165.153
942	1.88200	522.897	341.372	161.525	505.182	350.484	165.769	515.494	323.427	165.563	543.896	502.677	165.250	523.109	504.540	165.697	543.332	482.050	165.218
943	1.88400	522.536	341.741	161.511	504.808	350.826	165.746	515.180	323.770	165.563	543.526	502.383	165.238	522.740	504.138	165.846	543.093	481.813	165.176
944	1.88600	522.163	342.077	161.536	504.424	351.168	165.725	514.836	324.121	165.545	543.200	502.067	165.333	522.273	503.795	165.893	542.705	481.490	165.133
945	1.88800	521.811	342.447	161.521	504.069	351.503	165.752	514.471	324.455	165.565	542.771	501.781	165.369	521.986	503.641	165.723	542.254	481.155	165.196
946	1.89000	521.453	342.810	161.556	503.665	351.803	165.786	514.144	324.797	165.534	542.390	501.468	165.296	521.583	503.250	165.729	541.893	480.877	165.193
947	1.89200	521.098	343.144	161.550	503.321	352.145	165.765	513.816	325.148	165.517	542.006	501.175	165.283	521.153	502.844	165.888	541.590	480.597	165.167
948	1.89400	520.744	343.506	161.553	502.962	352.498	165.756	513.461	325.490	165.519	541.599	500.889	165.319	520.835	502.626	165.801	541.240	480.287	165.097
949	1.89600	520.373	343.877	161.571	502.572	352.807	165.805	513.132	325.831	165.489	541.294	500.606	165.354	520.386	502.334	165.723	540.773	479.954	165.192
950	1.89800	520.004	344.219	161.548	502.209	353.125	165.835	512.817	326.168	165.507	540.872	500.302	165.234	520.040	501.997	165.696	540.418	479.684	165.205
951	1.90000	519.670	344.572	161.570	501.833	353.477	165.827	512.464	326.518	165.492	540.446	499.964	165.333	519.685	501.623	165.861	540.144	479.414	165.162
952	1.90200	519.301	344.934	161.573	501.479	353.811	165.824	512.127	326.869	165.476	540.133	499.683	165.365	519.231	501.377	165.764	539.738	479.080	165.137
953	1.90400	518.933	345.294	161.546	501.117	354.130	165.853	511.796	327.204	165.494	539.719	499.406	165.323	518.922	501.151	165.661	539.306	478.760	165.238
954	1.90600	518.592	345.641	161.585	500.741	354.474	165.863	511.473	327.558	165.509	539.381	499.070	165.295	518.489	500.657	165.856	538.990	478.494	165.247
955	1.90800	518.224	346.000	161.558	500.383	354.814	165.811	511.109	327.893	165.529	538.979	498.801	165.301	518.115	500.401	165.809	538.656	478.208	165.138
956	1.91000	517.869	346.344	161.566	500.008	355.149	165.806	510.773	328.261	165.510	538.560	498.508	165.382	517.786	500.183	165.753	538.256	477.886	165.153
957	1.91200	517.525	346.715	161.552	499.653	355.492	165.818	510.432	328.599	165.560	538.195	498.195	165.311	517.341	499.831	165.723	537.821	477.563	165.230
958	1.91400	517.148	347.066	161.543	499.241	355.824	165.782	510.102	328.943	165.562	537.825	497.911	165.221	516.994	499.467	165.808	537.483	477.304	165.193
959	1.91600	516.806	347.409	161.554	498.899	356.165	165.730	509.762	329.313	165.574	537.469	497.595	165.318	516.603	499.162	165.846	537.179	477.007	165.105
960	1.91800	516.454	347.773	161.556	498.545	356.501	165.758	509.432	329.639	165.580	537.090	497.291	165.386	516.213	498.943	165.640	536.786	476.689	165.147
961	1.92000	516.099	348.117	161.565	498.143	356.827	165.773	509.074	329.993	165.629	536.691	496.988	165.266	515.877	498.593	165.667	536.358	476.379	165.198
962	1.92200	515.735	348.453	161.592	497.804	357.153	165.787	508.759	330.330	165.648	536.316	496.668	165.304	515.420	498.162	165.875	536.053	476.096	165.177
963	1.92400	515.365	348.815	161.596	497.428	357.498	165.797	508.426	330.687	165.584	535.922	496.418	165.308	515.080	498.001	165.687	535.708	475.801	165.116
964	1.92600	515.025	349.176	161.603	497.061	357.807	165.849	508.069	331.021	165.606	535.578	496.101	165.343	514.747	497.686	165.682	535.300	475.476	165.167
965	1.92800	514.639	349.520	161.612	496.705	358.135	165.894	507.749	331.356	165.593	535.169	495.787	165.242	514.291	497.274	165.794	534.901	475.171	165.246
966	1.93000	514.293	349.883	161.617	496.331	358.478	165.873	507.424	331.695	165.533	534.773	495.511	165.262	513.941	496.997	165.816	534.556	474.890	165.157
967	1.93200	513.925	350.232	161.579	495.975	358.803	165.891	507.080	332.036	165.505	534.450	495.195	165.328	513.587	496.728	165.792	534.228	474.600	165.150
968	1.93400	513.562	350.576	161.588	495.598	359.113	165.907	506.734	332.380	165.508	534.070	494.891	165.336	513.188	496.473	165.587	533.803	474.278	165.228
969	1.93600	513.222	350.931	161.611	495.236	359.446	165.906	506.412	332.714	165.498	533.652	494.588	165.248	512.808	496.019	165.868	533.441	473.999	165.259
970	1.93800	512.838	351.290	161.587	494.853	359.788	165.887	506.079	333.081	165.448	533.281	494.303	165.253	512.386	495.736	165.838	533.101	473.690	165.191
971	1.94000	512.496	351.648	161.531	494.489	360.129	165.835	505.700	333.422	165.454	532.871	494.017	165.322	512.053	495.538	165.654	532.765	473.418	165.150
972	1.94200	512.149	351.985	161.557	494.102	360.447	165.868	505.393	333.759	165.473	532.528	493.692	165.279	511.694	495.137	165.776	532.348	473.093	165.233
973	1.94400	511.781	352.345	161.532	493.712	360.789	165.849	505.042	334.118	165.442	532.132	493.396	165.209	511.233	494.787	165.776	531.957	472.779	165.233
974	1.94600	511.411	352.714	161.522	493.372	361.145	165.765	504.679	334.460	165.447	531.720	493.084	165.326	510.884	494.526	165.769	531.630	472.500	165.112
975	1.94800	511.067	353.057	161.501	492.996	361.472	165.779	504.362	334.813	165.466	531.394	492.785	165.330	510.518	494.240	165.618	531.288	472.206	165.110
976	1.95000	510.680	353.401	161.511	492.609	361.797	165.796	504.024	335.160	165.500	530.982	492.471	165.260	510.087	493.879	165.701	530.876	471.883	165.191
977	1.95200	510.315	353.772	161.534	492.258	362.130	165.764	503.675	335.505	165.536	530.642	492.172	165.264	509.729	493.504	165.902	530.459	471.589	165.155
978	1.95400	509.962	354.135	161.540	491.877	362.491	165.740	503.329	335.872	165.521	530.223	491.911	165.288	509.334	493.310	165.649	530.139	471.289	165.136
979	1.95600	509.621	354.478	161.553	491.511	362.817	165.790	503.011	336.211	165.574	529.814	491.599	165.342	508.969	493.006	165.658	529.786	471.015	165.129
980	1.95800	509.231	354.833	161.609	491.138	363.128	165.841	502.661	336.555	165.611	529.433	491.270	165.272	508.610	492.580	165.891	529.368	470.692	165.210
981	1.96000	508.886	355.186	161.602	490.748	363.474	165.918	502.323	336.898	165.616	529.077	491.012	165.198	508.181	492.351	165.764	528.982	470.379	165.211
982	1.96200	508.531	355.555	161.594	490.411	363.816	165.901	501.993	337.267	165.601	528.740	490.705	165.345	507.817	492.036	165.760	528.695	470.128	165.103
983	1.96400	508.165	355.876	161.657	490.056	364.128	165.950	501.647	337.592	165.610	528.322	490.391	165.338	507.457	491.736	165.639	528.332	469.814	165.169
984	1.96600	507.811	356.246	161.648	489.664	364.456	166.032	501.322	337.928	165.633	527.911	490.087	165.252	507.028	491.356	165.882	527.895	469.499	165.234
985	1.96800	507.436	356.613	161.609	489.305	364.789	166.000	500.988	338.285	165.573	527.537	489.803	165.290	506.687	491.095	165.876	527.493	469.200	165.149
986	1.97000	507.074	356.958	161.619	488.956	365.139	165.964	500.651	338.629	165.577	527.149	489.544	165.312	506.283	490.875	165.545	527.191	468.907	165.147
987	1.97200	506.742	357.302	161.631	488.584	365.457	165.999	500.295	338.964	165.601	526.823	489.210	165.318	505.882	490.431	165.811	526.854	468.650	165.174
988	1.97400	506.365	357.689	161.620	488.185	365.782	165.985	499.974	339.323	165.572	526.388	488.897	165.249	505.554	490.145	165.852	526.401	468.309	165.192
989	1.97600	505.996	358.041	161.614	487.830	366.128	165.889	499.654	339.675	165.559	525.975	488.611	165.288	505.119	489.897	165.696	526.002	467.989	165.175
990	1.97800	505.665	358.369	161.628	487.450	366.479	165.853	499.269	340.025	165.549	525.655	488.338	165.340	504.779	489.574	165.678	525.759	467.763	165.085
991	1.98000	505.284	358.739	161.653	487.072	366.795	165.857	498.944	340.363	165.602	525.245	488.000	165.318	504.383	489.233	165.728	525.372	467.458	165.167
992	1.98200	504.910	359.107	161.614	486.698	367.135	165.810	498.608	340.722	165.573	524.878	487.689	165.279	503.943	488.886	165.911	524.856	467.096	165.222
993	1.98400	504.574	359.450	161.594	486.314	367.493	165.725	498.228	341.091	165.592	524.490	487.431	165.301	503.656	488.678	165.715	524.547	466.835	165.133
994	1.98600	504.216	359.814	161.635	485.959	367.819	165.744	497.896	341.420	165.632	524.086	487.144	165.311	503.209	488.361	165.623	524.251	466.553	165.146
995	1.98800	503.839	360.156	161.617	485.558	368.127	165.765	497.568	341.772	165.621	523.743	486.809	165.255	502.821	487.926	165.936	523.876	466.260	165.175
996	1.99000	503.494	360.509	161.611	485.208	368.486	165.715	497.244	342.125	165.642	523.349	486.533	165.246	502.493	487.712	165.785	523.412	465.921	165.192
997	1.99200	503.131	360.888	161.620	484.856	368.838	165.712	496.883	342.476	165.631	522.939	486.214	165.349	502.037	487.400	165.682	523.061	465.626	165.193
