NO_OF_FRAMES	874
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 18:19:44.834	951318.46868910
DATA_INCLUDED	3D
MARKER_NAMES	v27_7g	vx	vy	h31_6g	hx	hy
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed	Measured
Frame	Time	v27_7g X	v27_7g Y	v27_7g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	h31_6g X	h31_6g Y	h31_6g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	
4653	9.30400	508.143	320.518	164.461	503.984	340.339	164.532	487.949	314.201	164.798	331.265	609.487	165.791	315.131	622.457	166.134	319.484	592.665	165.979
4654	9.30600	507.689	320.949	164.508	503.592	340.750	164.458	487.501	314.649	164.767	331.247	609.093	165.745	315.114	621.998	166.185	319.512	592.207	165.982
4655	9.30800	507.199	321.338	164.509	503.147	341.175	164.528	487.037	315.113	164.770	331.206	608.617	165.737	315.034	621.551	166.126	319.499	591.740	165.998
4656	9.31000	506.826	321.786	164.485	502.733	341.596	164.503	486.564	315.543	164.744	331.173	608.177	165.733	315.023	621.092	166.145	319.462	591.337	165.944
4657	9.31200	506.317	322.197	164.469	502.341	342.016	164.443	486.129	316.007	164.714	331.164	607.799	165.719	314.969	620.671	166.139	319.502	590.824	165.973
4658	9.31400	505.918	322.595	164.486	501.911	342.432	164.501	485.662	316.446	164.703	331.131	607.287	165.772	314.926	620.214	166.094	319.441	590.429	165.935
4659	9.31600	505.442	323.041	164.463	501.490	342.845	164.491	485.216	316.895	164.707	331.114	606.927	165.729	314.871	619.755	166.146	319.453	589.962	165.952
4660	9.31800	505.016	323.427	164.435	501.130	343.287	164.494	484.762	317.336	164.730	331.089	606.469	165.756	314.837	619.325	166.091	319.458	589.504	165.956
4661	9.32000	504.564	323.846	164.513	500.666	343.684	164.521	484.287	317.800	164.700	331.063	606.012	165.720	314.790	618.822	166.154	319.403	589.091	165.917
4662	9.32200	504.129	324.256	164.465	500.281	344.099	164.545	483.839	318.244	164.753	331.016	605.633	165.738	314.741	618.426	166.134	319.460	588.605	165.965
4663	9.32400	503.701	324.663	164.465	499.884	344.531	164.533	483.389	318.673	164.730	331.006	605.146	165.809	314.707	617.933	166.120	319.384	588.202	165.911
4664	9.32600	503.217	325.084	164.499	499.425	344.944	164.560	482.927	319.166	164.742	330.980	604.744	165.717	314.675	617.502	166.129	319.408	587.733	165.959
4665	9.32800	502.777	325.482	164.482	499.042	345.368	164.566	482.466	319.563	164.758	330.949	604.311	165.793	314.610	617.063	166.088	319.390	587.275	165.934
4666	9.33000	502.361	325.920	164.479	498.657	345.789	164.508	482.036	320.057	164.770	330.923	603.862	165.775	314.593	616.578	166.124	319.352	586.862	165.926
4667	9.33200	501.847	326.316	164.466	498.206	346.209	164.520	481.546	320.493	164.731	330.867	603.460	165.682	314.560	616.183	166.105	319.378	586.376	165.944
4668	9.33400	501.485	326.741	164.496	497.821	346.623	164.478	481.116	320.935	164.755	330.842	602.990	165.787	314.504	615.680	166.138	319.326	585.973	165.892
4669	9.33600	500.965	327.168	164.446	497.399	347.044	164.455	480.643	321.389	164.711	330.801	602.561	165.677	314.479	615.259	166.102	319.358	585.495	165.957
4670	9.33800	500.565	327.565	164.467	496.973	347.468	164.495	480.174	321.838	164.718	330.784	602.119	165.739	314.423	614.828	166.112	319.326	585.047	165.917
4671	9.34000	500.087	327.997	164.480	496.577	347.873	164.474	479.744	322.287	164.725	330.759	601.687	165.753	314.389	614.343	166.115	319.311	584.634	165.911
4672	9.34200	499.674	328.400	164.452	496.135	348.328	164.480	479.278	322.724	164.686	330.710	601.285	165.663	314.341	613.922	166.079	319.331	584.148	165.931
4673	9.34400	499.233	328.817	164.500	495.751	348.710	164.510	478.812	323.201	164.737	330.717	600.806	165.784	314.316	613.445	166.132	319.269	583.745	165.879
4674	9.34600	498.761	329.220	164.506	495.319	349.133	164.519	478.379	323.605	164.705	330.645	600.394	165.707	314.252	613.006	166.095	319.318	583.275	165.961
4675	9.34800	498.329	329.643	164.471	494.935	349.573	164.525	477.914	324.099	164.752	330.636	599.944	165.754	314.220	612.556	166.136	319.272	582.837	165.877
4676	9.35000	497.885	330.054	164.494	494.529	349.970	164.522	477.463	324.519	164.718	330.626	599.521	165.755	314.162	612.073	166.077	319.254	582.396	165.884
4677	9.35200	497.412	330.451	164.480	494.075	350.392	164.568	477.015	324.980	164.772	330.554	599.093	165.647	314.092	611.642	166.088	319.258	581.937	165.922
4678	9.35400	497.009	330.899	164.495	493.710	350.812	164.478	476.557	325.425	164.717	330.560	598.623	165.754	314.074	611.183	166.113	319.230	581.508	165.856
4679	9.35600	496.504	331.285	164.469	493.282	351.236	164.521	476.101	325.885	164.771	330.512	598.229	165.681	314.025	610.727	166.075	319.246	581.030	165.922
4680	9.35800	496.164	331.713	164.533	492.811	351.630	164.522	475.673	326.315	164.752	330.479	597.770	165.711	314.017	610.303	166.134	319.215	580.599	165.885
4681	9.36000	495.620	332.122	164.489	492.506	352.061	164.448	475.184	326.787	164.707	330.463	597.346	165.745	313.960	609.828	166.096	319.227	580.150	165.878
4682	9.36200	495.236	332.535	164.477	492.027	352.484	164.526	474.750	327.220	164.753	330.413	596.917	165.637	313.912	609.380	166.107	319.210	579.708	165.918
4683	9.36400	494.749	332.952	164.526	491.617	352.880	164.491	474.301	327.668	164.729	330.397	596.457	165.730	313.879	608.957	166.104	319.180	579.279	165.852
4684	9.36600	494.328	333.362	164.485	491.304	353.347	164.478	473.852	328.151	164.735	330.372	596.080	165.691	313.815	608.474	166.081	319.205	578.810	165.905
4685	9.36800	493.905	333.787	164.516	490.746	353.723	164.484	473.377	328.566	164.749	330.347	595.604	165.690	313.798	608.033	166.109	319.176	578.397	165.871
4686	9.37000	493.431	334.183	164.542	490.425	354.157	164.507	472.969	329.049	164.755	330.299	595.163	165.724	313.742	607.602	166.090	319.180	577.929	165.895
4687	9.37200	492.998	334.615	164.523	490.051	354.606	164.497	472.456	329.486	164.719	330.281	594.777	165.668	313.710	607.126	166.115	319.146	577.488	165.904
4688	9.37400	492.563	335.035	164.530	489.552	354.984	164.535	472.052	329.932	164.810	330.257	594.290	165.745	313.669	606.705	166.082	319.123	577.058	165.869
4689	9.37600	492.090	335.424	164.535	489.230	355.436	164.557	471.581	330.385	164.739	330.224	593.913	165.706	313.627	606.247	166.076	319.159	576.589	165.925
4690	9.37800	491.700	335.857	164.587	488.794	355.830	164.526	471.141	330.843	164.765	330.214	593.455	165.706	313.581	605.780	166.120	319.101	576.175	165.920
4691	9.38000	491.173	336.258	164.529	488.395	356.265	164.616	470.695	331.277	164.809	330.182	593.014	165.741	313.563	605.375	166.088	319.155	575.699	165.931
4692	9.38200	490.832	336.695	164.609	487.961	356.661	164.583	470.220	331.732	164.773	330.165	592.627	165.717	313.515	604.881	166.143	319.106	575.276	165.942
4693	9.38400	490.325	337.088	164.571	487.534	357.099	164.596	469.788	332.200	164.812	330.139	592.123	165.762	313.466	604.477	166.113	319.074	574.836	165.891
4694	9.38600	489.920	337.518	164.557	487.161	357.525	164.604	469.330	332.621	164.781	330.106	591.746	165.692	313.457	604.000	166.139	319.126	574.360	165.933
4695	9.38800	489.480	337.918	164.611	486.712	357.912	164.625	468.890	333.114	164.801	330.090	591.314	165.744	313.386	603.541	166.166	319.061	573.954	165.914
4696	9.39000	489.004	338.328	164.572	486.347	358.376	164.583	468.418	333.542	164.752	330.041	590.838	165.745	313.360	603.128	166.151	319.081	573.478	165.955
4697	9.39200	488.584	338.776	164.554	485.952	358.780	164.535	468.014	334.005	164.842	330.016	590.460	165.706	313.312	602.607	166.190	319.066	573.055	165.938
4698	9.39400	488.137	339.164	164.565	485.456	359.185	164.620	467.522	334.454	164.710	330.015	589.982	165.802	313.279	602.212	166.145	319.026	572.623	165.935
4699	9.39600	487.724	339.604	164.565	485.153	359.634	164.544	467.054	334.908	164.819	329.966	589.570	165.699	313.231	601.717	166.201	319.069	572.156	165.962
