NO_OF_FRAMES	994
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 18:21:38.805	951432.43934970
DATA_INCLUDED	3D
TITLE	Bevaring av energi i elastisk stöt 34.0 g vs (fjäderpuck) 31.6 g
MARKER_NAMES	v34_0g	vx	vy	h31_6g	hx	hy
COLLISION_TIME	0.91
TRAJECTORY_TYPES	Measured	Mixed	Mixed	Measured	Measured	Mixed
Frame	Time	v34_0g X	v34_0g Y	v34_0g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	h31_6g X	h31_6g Y	h31_6g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	
12793	25.58400	352.138	222.842	169.441	349.662	238.151	169.324	336.267	221.656	169.487	529.912	516.879	165.406	523.649	536.368	165.625	510.891	508.925	165.436
12794	25.58600	352.170	223.205	169.474	349.689	238.473	169.306	336.299	222.001	169.524	529.541	516.560	165.405	523.178	536.026	165.653	510.502	508.605	165.469
12795	25.58800	352.154	223.465	169.455	349.739	238.852	169.419	336.353	222.276	169.551	529.174	516.300	165.358	522.823	535.722	165.679	510.093	508.304	165.375
12796	25.59000	352.190	223.848	169.513	349.757	239.142	169.331	336.435	222.637	169.582	528.762	515.946	165.388	522.455	535.426	165.605	509.712	507.966	165.409
12797	25.59200	352.232	224.200	169.449	349.757	239.471	169.295	336.492	222.993	169.549	528.343	515.582	165.403	522.066	535.104	165.601	509.302	507.646	165.412
12798	25.59400	352.234	224.512	169.414	349.822	239.881	169.368	336.533	223.305	169.515	527.974	515.315	165.372	521.625	534.745	165.659	508.913	507.362	165.350
12799	25.59600	352.248	224.874	169.529	349.849	240.160	169.348	336.562	223.633	169.558	527.611	515.032	165.370	521.234	534.461	165.621	508.542	507.024	165.353
12800	25.59800	352.285	225.179	169.514	349.860	240.499	169.327	336.606	223.968	169.582	527.144	514.639	165.403	520.894	534.155	165.594	508.113	506.695	165.402
12801	25.60000	352.319	225.545	169.412	349.905	240.887	169.342	336.657	224.300	169.491	526.782	514.346	165.387	520.448	533.798	165.621	507.730	506.419	165.357
12802	25.60200	352.381	225.931	169.504	349.931	241.199	169.312	336.703	224.643	169.497	526.431	514.089	165.339	520.044	533.492	165.650	507.342	506.091	165.375
12803	25.60400	352.371	226.213	169.515	349.951	241.531	169.391	336.710	224.961	169.527	526.000	513.733	165.403	519.705	533.193	165.640	506.960	505.727	165.426
12804	25.60600	352.425	226.554	169.519	350.014	241.885	169.418	336.739	225.269	169.543	525.566	513.369	165.418	519.280	532.875	165.601	506.547	505.459	165.365
12805	25.60800	352.519	226.964	169.504	350.030	242.198	169.306	336.818	225.649	169.488	525.207	513.110	165.372	518.841	532.515	165.693	506.160	505.167	165.382
12806	25.61000	352.567	227.256	169.445	350.065	242.581	169.371	336.865	225.965	169.487	524.843	512.808	165.372	518.504	532.239	165.673	505.769	504.795	165.448
12807	25.61200	352.597	227.608	169.546	350.122	242.894	169.427	336.850	226.266	169.522	524.414	512.444	165.420	518.129	531.942	165.599	505.345	504.501	165.435
12808	25.61400	352.665	227.977	169.562	350.132	243.234	169.323	336.887	226.622	169.575	524.008	512.133	165.373	517.693	531.585	165.657	504.969	504.217	165.405
12809	25.61600	352.690	228.297	169.428	350.179	243.632	169.352	336.950	226.968	169.447	523.664	511.868	165.341	517.258	531.295	165.657	504.593	503.861	165.473
12810	25.61800	352.745	228.663	169.493	350.215	243.938	169.343	336.960	227.289	169.426	523.223	511.536	165.422	516.944	530.997	165.617	504.170	503.541	165.444
12811	25.62000	352.798	228.974	169.544	350.216	244.236	169.350	336.975	227.635	169.547	522.815	511.174	165.406	516.527	530.688	165.563	503.778	503.257	165.416
12812	25.62200	352.829	229.276	169.497	350.258	244.643	169.391	336.989	227.920	169.506	522.426	510.889	165.344	516.081	530.329	165.623	503.383	502.928	165.435
12813	25.62400	352.870	229.686	169.481	350.274	244.954	169.332	337.036	228.272	169.443	522.045	510.604	165.377	515.717	530.026	165.650	502.972	502.583	165.453
12814	25.62600	352.894	229.998	169.450	350.263	245.269	169.335	337.076	228.634	169.476	521.640	510.231	165.410	515.330	529.737	165.563	502.568	502.306	165.379
12815	25.62800	352.909	230.289	169.471	350.326	245.638	169.437	337.091	228.923	169.468	521.217	509.911	165.380	514.932	529.371	165.638	502.194	501.968	165.415
12816	25.63000	352.970	230.682	169.545	350.338	245.935	169.332	337.129	229.245	169.532	520.855	509.617	165.366	514.480	529.055	165.654	501.800	501.630	165.420
12817	25.63200	353.019	231.001	169.411	350.330	246.292	169.307	337.206	229.635	169.491	520.458	509.314	165.400	514.149	528.766	165.630	501.411	501.346	165.361
12818	25.63400	353.028	231.344	169.418	350.381	246.658	169.379	337.253	229.945	169.428	520.059	508.960	165.369	513.774	528.438	165.640	501.023	501.017	165.380
12819	25.63600	353.065	231.705	169.535	350.421	246.934	169.329	337.276	230.267	169.492	519.687	508.640	165.371	513.300	528.089	165.653	500.625	500.688	165.433
12820	25.63800	353.110	231.994	169.444	350.447	247.311	169.332	337.314	230.596	169.538	519.294	508.363	165.358	512.953	527.795	165.666	500.248	500.368	165.406
12821	25.64000	353.169	232.384	169.403	350.494	247.665	169.360	337.391	230.921	169.467	518.908	508.044	165.359	512.585	527.512	165.598	499.878	500.056	165.396
12822	25.64200	353.230	232.734	169.477	350.507	247.951	169.324	337.455	231.264	169.475	518.473	507.679	165.378	512.163	527.158	165.623	499.448	499.720	165.462
12823	25.64400	353.252	233.015	169.489	350.555	248.307	169.382	337.501	231.596	169.553	518.119	507.403	165.365	511.726	526.832	165.657	499.063	499.426	165.450
12824	25.64600	353.328	233.405	169.531	350.603	248.667	169.391	337.547	231.887	169.576	517.758	507.118	165.335	511.404	526.550	165.651	498.664	499.132	165.409
12825	25.64800	353.408	233.768	169.484	350.604	248.978	169.333	337.600	232.236	169.565	517.321	506.754	165.385	511.041	526.235	165.610	498.273	498.777	165.477
12826	25.65000	353.416	234.064	169.459	350.633	249.334	169.391	337.679	232.590	169.505	516.911	506.416	165.388	510.570	525.893	165.642	497.882	498.493	165.448
12827	25.65200	353.437	234.436	169.590	350.689	249.667	169.393	337.688	232.881	169.528	516.533	506.158	165.374	510.168	525.581	165.654	497.497	498.173	165.423
12828	25.65400	353.514	234.773	169.537	350.691	249.987	169.346	337.726	233.205	169.624	516.155	505.857	165.375	509.821	525.298	165.619	497.084	497.828	165.474
12829	25.65600	353.540	235.113	169.431	350.737	250.371	169.415	337.796	233.558	169.563	515.703	505.466	165.410	509.422	524.963	165.612	496.684	497.542	165.448
12830	25.65800	353.562	235.485	169.563	350.804	250.677	169.407	337.821	233.874	169.480	515.321	505.173	165.366	508.972	524.624	165.672	496.302	497.249	165.405
12831	25.66000	353.562	235.764	169.543	350.823	250.989	169.378	337.846	234.233	169.565	514.998	504.916	165.351	508.606	524.338	165.671	495.889	496.887	165.457
12832	25.66200	353.601	236.100	169.489	350.870	251.380	169.430	337.875	234.531	169.571	514.530	504.551	165.402	508.242	524.023	165.630	495.481	496.584	165.431
12833	25.66400	353.679	236.511	169.477	350.900	251.694	169.404	337.913	234.860	169.534	514.121	504.206	165.388	507.784	523.691	165.646	495.090	496.308	165.389
12834	25.66600	353.688	236.782	169.475	350.914	252.007	169.377	337.970	235.240	169.481	513.770	503.947	165.344	507.369	523.360	165.693	494.721	495.937	165.488
12835	25.66800	353.711	237.103	169.539	351.002	252.400	169.460	338.010	235.542	169.520	513.363	503.636	165.394	507.019	523.078	165.656	494.305	495.599	165.463
12836	25.67000	353.780	237.497	169.533	351.003	252.701	169.391	338.023	235.851	169.541	512.936	503.246	165.430	506.645	522.752	165.635	493.908	495.331	165.406
12837	25.67200	353.815	237.817	169.401	351.018	253.041	169.372	338.100	236.228	169.541	512.555	502.970	165.354	506.168	522.393	165.697	493.518	495.003	165.459
